sequence,key,phi,psi,omega,e2e,rgyr
gly,049eba45-ead4-4927-b102-c0fcad792312,-88.6285400390625,87.8092041015625,175.33035278320312,4.70798397064209,2.6810164762567417
gly,049eba45-ead4-4927-b102-c0fcad792312,-83.7534408569336,52.50064468383789,177.92787170410156,4.551976203918457,2.6736788825919877
gly,049eba45-ead4-4927-b102-c0fcad792312,-96.71846771240234,82.61956024169922,-171.1656036376953,4.610823154449463,2.623569031568372
gly,049eba45-ead4-4927-b102-c0fcad792312,-94.54277801513672,81.86445617675781,179.23260498046875,5.0682172775268555,2.7636171346517573
gly,049eba45-ead4-4927-b102-c0fcad792312,-89.572998046875,66.47834014892578,-164.51129150390625,4.394887924194336,2.5680050364061997
gly,049eba45-ead4-4927-b102-c0fcad792312,-108.95691680908203,73.23504638671875,177.65846252441406,5.102758407592773,2.8062131339797256
gly,049eba45-ead4-4927-b102-c0fcad792312,-66.03414916992188,77.35430145263672,176.8185577392578,4.41384744644165,2.6021139284904806
gly,049eba45-ead4-4927-b102-c0fcad792312,-101.56523895263672,64.96788024902344,169.39208984375,4.773809432983398,2.7600938908183563
gly,049eba45-ead4-4927-b102-c0fcad792312,-68.01344299316406,64.92926025390625,170.42298889160156,4.405729293823242,2.6328817415344403
gly,049eba45-ead4-4927-b102-c0fcad792312,-80.89411926269531,78.62088775634766,171.83570861816406,4.65545129776001,2.6836088626231174
gly,049eba45-ead4-4927-b102-c0fcad792312,-84.9171142578125,49.618167877197266,179.69480895996094,4.592923641204834,2.677851676897775
gly,049eba45-ead4-4927-b102-c0fcad792312,-70.5157470703125,74.13699340820312,-174.90701293945312,4.509390354156494,2.6013914763210204
gly,049eba45-ead4-4927-b102-c0fcad792312,-120.09124755859375,101.79318237304688,-177.4336700439453,5.309716701507568,2.823216061678782
gly,049eba45-ead4-4927-b102-c0fcad792312,-106.61734008789062,114.07915496826172,-166.93865966796875,5.014419078826904,2.695492312604286
