sequence,key,phi,psi,omega,e2e,rgyr
gly,0b7cc644-f976-4d4b-a04b-6883794a5bfa,93.10174560546875,52.08849334716797,-176.494873046875,5.220940113067627,7.833704887348889
gly,0b7cc644-f976-4d4b-a04b-6883794a5bfa,85.05058288574219,34.44556427001953,170.0837860107422,4.396511554718018,7.693691424777946
gly,0b7cc644-f976-4d4b-a04b-6883794a5bfa,90.38594055175781,31.261964797973633,168.73724365234375,4.810287952423096,7.49401024431535
gly,0b7cc644-f976-4d4b-a04b-6883794a5bfa,67.96595001220703,24.356863021850586,170.48562622070312,4.3785786628723145,7.513525401889831
gly,0b7cc644-f976-4d4b-a04b-6883794a5bfa,75.63233947753906,44.127159118652344,-177.60000610351562,4.5672478675842285,7.744892126317541
gly,0b7cc644-f976-4d4b-a04b-6883794a5bfa,81.85802459716797,35.20545959472656,178.61557006835938,4.707753658294678,7.687101208591061
gly,0b7cc644-f976-4d4b-a04b-6883794a5bfa,85.62593841552734,-4.450850963592529,-171.62660217285156,4.486610412597656,7.573770861358912
gly,0b7cc644-f976-4d4b-a04b-6883794a5bfa,106.98087310791016,-3.7918946743011475,-175.3850860595703,4.666844844818115,7.616093307191649
gly,0b7cc644-f976-4d4b-a04b-6883794a5bfa,87.38868713378906,-10.770078659057617,-176.91578674316406,4.417263031005859,7.22487119336071
gly,0b7cc644-f976-4d4b-a04b-6883794a5bfa,102.44090270996094,-34.104278564453125,176.28309631347656,4.547273635864258,7.263749146896119
gly,0b7cc644-f976-4d4b-a04b-6883794a5bfa,121.38152313232422,-36.83983612060547,-175.53915405273438,4.422506809234619,7.427661470363594
gly,0b7cc644-f976-4d4b-a04b-6883794a5bfa,103.05709075927734,21.65135383605957,179.7183074951172,4.756916046142578,7.672762371148954
gly,0b7cc644-f976-4d4b-a04b-6883794a5bfa,132.67181396484375,0.14855560660362244,-172.94857788085938,4.8651442527771,7.615036482417608
gly,0b7cc644-f976-4d4b-a04b-6883794a5bfa,82.90589904785156,0.9504459500312805,-176.6520233154297,4.176608085632324,7.322480001946489
gly,0b7cc644-f976-4d4b-a04b-6883794a5bfa,80.75946044921875,52.93115997314453,176.49851989746094,5.024038314819336,7.243386052999253
gly,0b7cc644-f976-4d4b-a04b-6883794a5bfa,64.86073303222656,13.988407135009766,-164.29222106933594,4.018033504486084,7.1471411206515665
