sequence,key,phi,psi,omega,e2e,rgyr
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-120.0198974609375,149.56283569335938,-176.7497100830078,5.798867225646973,7.284876467224984
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-111.51944732666016,165.18960571289062,176.98988342285156,5.540921688079834,7.481082788239627
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-127.79847717285156,147.9134979248047,-177.36270141601562,5.929104804992676,7.090657153620693
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-85.35453796386719,-174.43655395507812,-173.82958984375,5.821982383728027,6.646344397875291
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-107.22676849365234,-147.3648223876953,-166.36180114746094,5.772139072418213,6.787870845669353
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-124.0424575805664,-164.61497497558594,177.4373321533203,6.073317050933838,6.7334257345645865
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-62.99748992919922,-177.93792724609375,177.8045654296875,5.611824989318848,6.8015070423307655
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-96.90505981445312,-173.3167724609375,177.9600067138672,5.982048034667969,6.7758378016791
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-98.23514556884766,168.17742919921875,169.56427001953125,5.6345038414001465,6.876217522218198
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-109.17140197753906,173.53395080566406,-171.89736938476562,5.765460968017578,6.542585468825533
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-126.45589447021484,-164.22300720214844,-171.85494995117188,6.0136847496032715,6.494221121717709
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-152.4044952392578,-171.6026153564453,-168.07472229003906,6.015404224395752,6.534861599781995
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-158.54107666015625,-137.50038146972656,171.2574920654297,5.917742729187012,6.4768231047364635
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-153.22434997558594,-136.331787109375,-160.19461059570312,5.929713249206543,6.3587865620310255
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-157.1056365966797,-139.4199981689453,-172.07891845703125,6.064632892608643,6.688528786678605
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-170.39450073242188,-167.83792114257812,-169.66574096679688,6.0696892738342285,6.6544888509552695
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-146.96588134765625,-156.4071502685547,-163.23733520507812,6.046417713165283,6.604198736828628
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-143.6749725341797,-153.06124877929688,-170.70704650878906,6.071767330169678,6.461822894756333
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-130.68406677246094,-145.23162841796875,-178.2029266357422,5.893396377563477,6.193192857519673
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-117.43720245361328,161.13320922851562,-171.08856201171875,5.86650276184082,6.179609245347176
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-85.97706604003906,144.06411743164062,167.40811157226562,5.674326419830322,6.146945414752039
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-90.9188232421875,172.34075927734375,-179.1732177734375,5.897570610046387,5.858134684429803
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-87.52831268310547,131.61032104492188,-179.14743041992188,5.570089340209961,5.94349709787124
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-123.35334777832031,138.95986938476562,-172.5181121826172,5.528802394866943,5.9140575382943315
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-154.28445434570312,136.5196075439453,179.999755859375,6.012227535247803,6.064961622625841
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-111.6869888305664,140.32125854492188,-177.21682739257812,5.795039653778076,5.903468307986539
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-133.00901794433594,104.55223083496094,178.8785400390625,5.317291259765625,5.778815796334292
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-133.6243133544922,116.64591217041016,-174.70689392089844,5.54752254486084,5.840450408256548
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-134.4915313720703,98.88440704345703,-174.38282775878906,5.369537830352783,5.461069039353387
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-139.88311767578125,100.27803039550781,-177.50289916992188,5.42484712600708,5.4618934524244445
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-146.1758270263672,135.3766632080078,-179.7599334716797,5.6729326248168945,5.402316048339623
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-152.05657958984375,150.80316162109375,169.45164489746094,5.827661037445068,5.537693426877668
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-166.32901000976562,144.40823364257812,-164.930419921875,6.014571189880371,5.479178115581353
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-157.5321502685547,164.2207489013672,-169.5831298828125,5.956958770751953,5.584631832007237
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-153.02964782714844,171.5189666748047,-168.50460815429688,6.0737624168396,5.587160091797639
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-147.47293090820312,168.18089294433594,177.15687561035156,5.959389686584473,5.691563087664001
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,178.95925903320312,167.56199645996094,-170.93048095703125,6.04359769821167,5.80960553642691
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-150.60574340820312,-159.6134796142578,177.78030395507812,6.043922424316406,5.640268323876491
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-156.34249877929688,-154.11703491210938,176.05918884277344,5.971657752990723,5.599523301847461
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-159.7383575439453,-169.93768310546875,170.8188018798828,6.033321857452393,5.75935037291523
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-178.67359924316406,177.5406494140625,-169.15432739257812,5.8040924072265625,5.6875610864217405
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-146.39138793945312,152.13534545898438,-173.79505920410156,5.790738105773926,5.746638817915715
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-132.426025390625,157.7448272705078,171.75131225585938,5.903754711151123,5.8355716421336785
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-178.29234313964844,148.23870849609375,-175.2298126220703,5.784262180328369,5.658944969299923
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-155.75999450683594,-164.28184509277344,-160.85711669921875,5.9670000076293945,5.59244027929615
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-151.930908203125,-155.68516540527344,171.70265197753906,5.911523818969727,5.4775540825000295
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-155.3379669189453,-133.3748321533203,169.36953735351562,5.848756313323975,5.410919764403729
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-146.0210418701172,-149.77931213378906,174.07778930664062,5.973944187164307,5.3713517202035295
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-153.05201721191406,-176.19418334960938,168.57447814941406,6.0558671951293945,5.587363445954944
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-161.81683349609375,-166.26388549804688,-178.856689453125,5.957943916320801,5.202579052843093
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-173.9559326171875,-164.64602661132812,173.75991821289062,6.151529312133789,4.736308144535572
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-168.5772247314453,-164.6185760498047,172.45228576660156,5.985207557678223,4.612894119878315
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-133.9208526611328,-165.63238525390625,-175.9256134033203,5.9786224365234375,4.658343567720384
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-163.60714721679688,-177.70802307128906,-177.44793701171875,5.9133381843566895,4.538382617806367
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-162.41766357421875,-147.83033752441406,177.9751739501953,5.944416522979736,4.764599314276171
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-135.80409240722656,-133.25416564941406,174.70069885253906,5.904951095581055,4.673778243419328
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-137.7945556640625,-164.26644897460938,-169.7069549560547,6.037731170654297,4.66024931499213
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,177.84510803222656,-149.96063232421875,-178.70068359375,6.04658317565918,4.808750090214527
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-95.40203857421875,-127.71891784667969,-168.08920288085938,5.7010884284973145,4.943357564516962
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-100.82157135009766,-142.5435028076172,179.7220001220703,5.920884132385254,4.6538520905104575
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-98.5481185913086,-137.5548553466797,-163.87290954589844,5.81694221496582,4.6549990051213
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-78.5670394897461,-123.84184265136719,177.04051208496094,5.580282688140869,4.753621685947777
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-114.67963409423828,-120.14531707763672,-178.2148895263672,5.615606307983398,4.717441184941622
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-96.73099517822266,-124.21873474121094,-175.1704559326172,5.65718412399292,4.850171185829523
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-106.17904663085938,-131.27745056152344,176.48561096191406,5.807915687561035,4.9911234777816045
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-98.09030151367188,-152.24171447753906,176.59738159179688,5.810695648193359,4.799714534780649
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-123.47096252441406,-157.25933837890625,178.72801208496094,5.899759769439697,4.6698153985323865
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-147.9723663330078,-152.22158813476562,179.55152893066406,6.104491710662842,4.609392061164644
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-172.04066467285156,178.8641357421875,-169.55894470214844,6.002388000488281,4.516499324791419
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-153.8558807373047,-175.95066833496094,-166.69247436523438,6.024312496185303,4.422494764514419
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-135.2203826904297,161.70257568359375,175.29200744628906,5.914025783538818,4.2641581154541806
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-145.87107849121094,150.76995849609375,174.48561096191406,5.705336570739746,4.319587047000046
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-161.5686798095703,141.92892456054688,166.28851318359375,5.881054401397705,4.336856034681101
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-134.50242614746094,156.3784637451172,167.51339721679688,5.7662672996521,4.138065161415803
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-169.3004150390625,137.2710418701172,163.84861755371094,5.877748012542725,4.06763858285125
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-156.50274658203125,160.1746063232422,178.0349578857422,5.9211015701293945,4.225488464150277
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-143.40426635742188,166.30767822265625,173.6282958984375,5.787862300872803,4.282741588801654
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-156.27415466308594,141.28054809570312,163.4058837890625,6.004378318786621,4.45743033695807
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-136.81187438964844,156.42623901367188,169.91209411621094,5.751873970031738,4.06020891040212
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-144.84149169921875,-179.76109313964844,172.82730102539062,6.026461601257324,3.9071282065688737
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-163.22779846191406,168.05726623535156,-176.5509033203125,5.993066787719727,3.863206356948874
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-156.5467071533203,162.62347412109375,-178.03248596191406,5.872158050537109,3.982951881029767
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-151.2337188720703,156.71461486816406,-175.9004364013672,6.062864303588867,4.0717367949492695
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-157.58912658691406,140.9085693359375,-175.48374938964844,5.902209758758545,4.174724655173611
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-132.9070587158203,126.92486572265625,165.86109924316406,5.598202705383301,4.242025082331386
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-157.53005981445312,148.83685302734375,-167.12242126464844,5.739583492279053,4.0295045334670325
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-158.4332275390625,120.17839813232422,-174.94891357421875,5.786670684814453,4.044146550152526
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-133.68699645996094,120.37615203857422,177.3199005126953,5.624933242797852,3.9510819748247257
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-119.12056732177734,132.04656982421875,-179.44235229492188,5.596401214599609,4.046493870343605
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-131.9849853515625,140.1659698486328,176.55043029785156,5.648276329040527,4.272642140731588
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-132.24595642089844,127.97159576416016,167.73497009277344,5.619813442230225,4.263135125850695
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-139.2066192626953,152.0164031982422,165.68894958496094,5.744664669036865,4.276192987104972
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-133.0091552734375,137.52914428710938,-179.45547485351562,5.728940963745117,4.307825998180981
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-147.55123901367188,120.4833984375,-167.06019592285156,5.692971229553223,4.160242443355916
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-153.376708984375,121.43021392822266,-175.19606018066406,5.693144798278809,4.138435163405697
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-117.54927062988281,98.07005310058594,-172.93923950195312,5.134809494018555,4.260521203060109
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-120.89755249023438,128.10800170898438,170.65048217773438,5.540761947631836,4.469254800193259
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-150.20681762695312,157.98553466796875,179.96563720703125,6.04841423034668,4.505828213199988
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-144.28216552734375,159.5568084716797,176.07350158691406,5.866422176361084,4.5051727560381964
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-131.36192321777344,159.60650634765625,-177.65753173828125,6.090230464935303,4.483029178159514
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-146.7687225341797,159.97451782226562,178.4193878173828,5.699560165405273,4.421085636640101
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-158.15025329589844,168.69277954101562,-170.9973602294922,6.081369400024414,4.5653539319738075
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-136.33840942382812,165.79991149902344,-168.37661743164062,5.841116428375244,4.530736822316537
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-122.01536560058594,171.6089630126953,-164.9208984375,5.9659199714660645,4.553087919243442
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-82.31446838378906,175.4009552001953,175.99058532714844,5.94398832321167,4.509162378293346
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-91.02351379394531,178.44454956054688,-175.24758911132812,5.8856635093688965,4.393795210796364
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-108.12215423583984,150.82931518554688,-163.54075622558594,5.823705673217773,4.293433526758381
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-97.51834869384766,168.44232177734375,-173.8356475830078,5.497682571411133,4.403573363148776
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-102.73993682861328,-173.42886352539062,-175.59371948242188,5.999528884887695,4.602206269451047
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-89.17526245117188,160.3309326171875,164.29632568359375,5.738649845123291,4.496764495221067
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-90.54627990722656,155.25186157226562,172.76809692382812,5.6090312004089355,4.331576169783167
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-89.11820983886719,160.46701049804688,179.1736297607422,5.764710426330566,4.347945787191852
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-94.34831237792969,-155.37103271484375,-178.9905548095703,5.72685432434082,4.470832130336616
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-87.74325561523438,170.28285217285156,-161.0985870361328,5.759117603302002,4.700892077507097
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-118.00604248046875,163.34564208984375,-170.1876678466797,5.7813825607299805,4.6701217828013775
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-101.4370346069336,164.77149963378906,-169.88844299316406,5.7749152183532715,4.57204443063397
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-85.8308334350586,175.89334106445312,178.1379852294922,5.806804656982422,4.535640849639339
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-85.35063171386719,-179.6531219482422,174.39952087402344,5.829061031341553,4.649041452362115
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-98.28926086425781,-172.51060485839844,-166.6240997314453,5.946465492248535,4.8289466331631274
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-116.48135375976562,-147.9215087890625,-171.6549072265625,5.892070293426514,4.956115397565353
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-96.68844604492188,-157.1254425048828,-162.84132385253906,5.819429397583008,4.95726743788563
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-95.2458724975586,179.9818878173828,-178.7181854248047,5.882111072540283,4.873013966524075
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-93.81217956542969,171.6161346435547,-178.423095703125,5.803386688232422,4.75884532137981
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-93.52288055419922,-158.25332641601562,173.82899475097656,5.828431606292725,4.537505784044178
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-90.1834945678711,-149.7277374267578,179.50453186035156,5.5316162109375,4.647384688064047
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-112.18659973144531,-130.23057556152344,163.49151611328125,5.819681167602539,4.853759721700034
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-126.63236999511719,-117.91864776611328,-177.95849609375,5.548048496246338,4.619084054225469
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-130.24501037597656,-118.87159729003906,177.82774353027344,5.743225574493408,4.44459186863721
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-111.42918395996094,-104.18656921386719,174.68460083007812,5.553650856018066,4.377581763125454
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-97.93628692626953,-64.0365982055664,-179.52566528320312,4.946061611175537,4.5767805870083595
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-88.58069610595703,-40.06806182861328,-174.8375244140625,4.549893856048584,4.596638153362816
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-87.50725555419922,-61.82505798339844,-173.23805236816406,4.910181045532227,4.596410119874436
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-98.06529235839844,-77.4732437133789,175.8741455078125,5.437101364135742,4.497401603998718
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-96.96124267578125,-26.11562728881836,178.64306640625,4.499248027801514,4.3345491107021665
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-54.30569839477539,-64.90048217773438,-175.08843994140625,4.818588733673096,4.269451386797931
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-101.29012298583984,-70.36178588867188,179.50845336914062,4.922158718109131,4.124637899089175
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-87.9539566040039,-74.11332702636719,-175.97833251953125,5.244715213775635,4.540663661142917
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-111.92298889160156,-77.40711212158203,-174.23587036132812,5.071077346801758,4.385574338915195
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-104.63567352294922,-56.29067611694336,-179.96109008789062,4.806308746337891,4.310177861468246
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-85.58816528320312,-42.67938232421875,-175.52542114257812,4.729194641113281,4.423338009072221
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-102.52142333984375,-56.22174072265625,173.7963409423828,4.746359348297119,4.333967549940042
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-124.21215057373047,-36.91188049316406,-176.92880249023438,4.725160598754883,4.400985511371752
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-104.79804992675781,-23.83812141418457,-177.68968200683594,4.434544086456299,4.425499855267804
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-97.2751235961914,-52.91820526123047,177.5531005859375,4.784137725830078,4.348660436332071
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-84.05923461914062,-43.915016174316406,-174.84133911132812,4.675631523132324,4.421236564997611
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-74.88923645019531,-45.56270217895508,-172.76629638671875,4.651991844177246,4.356346119375028
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-100.27745819091797,-53.409297943115234,-166.19268798828125,4.839967727661133,4.388114572821308
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-80.30581665039062,-59.620574951171875,169.5809783935547,4.744515419006348,4.193180335302667
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-84.44538116455078,-54.365867614746094,170.78875732421875,4.903369426727295,4.13131962480788
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-74.45951843261719,-41.98439025878906,176.14019775390625,4.487037658691406,4.00832190846244
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-74.73670959472656,-59.79817199707031,-178.9246368408203,4.5651421546936035,4.099219368485241
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-67.76485443115234,-45.52214050292969,-162.75244140625,4.245585918426514,4.279093726800851
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-87.79467010498047,-77.72840118408203,-177.67315673828125,5.183168411254883,4.27057263387991
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-86.26834869384766,-44.42380142211914,-172.4832763671875,4.573835372924805,4.260147890752354
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-86.71810913085938,-42.43767166137695,168.7616424560547,4.689830780029297,4.177392123358625
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-71.26251220703125,-50.8764762878418,-176.71017456054688,4.5389204025268555,4.23203869960897
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-80.90249633789062,-61.42778778076172,-176.14883422851562,4.874742031097412,4.112165924195665
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-83.4937744140625,-104.07748413085938,-176.16712951660156,5.484631538391113,3.9992261284719377
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-75.94998931884766,-66.37586212158203,-163.6298370361328,4.967919826507568,4.046906759184483
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-73.12486267089844,-49.699066162109375,176.9552001953125,4.649502754211426,3.9405380657368396
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-86.21526336669922,-82.7957534790039,173.5290069580078,5.278000831604004,4.147374788054142
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-103.0274429321289,-46.472618103027344,160.80923461914062,4.752644062042236,4.000257190358819
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-88.19722747802734,-81.03783416748047,170.5856170654297,5.272906303405762,4.1174757119783925
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-143.74453735351562,-57.56034469604492,-175.54730224609375,5.217502593994141,4.251740940531375
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-170.96807861328125,-54.63945388793945,-165.36546325683594,4.908374786376953,4.225560130588316
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-167.923583984375,-56.46391296386719,-177.71461486816406,5.0652079582214355,4.276189967763317
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-156.80923461914062,-48.31715774536133,-171.35060119628906,5.197997093200684,4.172047463393591
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-141.09364318847656,-74.39583587646484,-170.3568878173828,5.358753681182861,4.269023866457743
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-128.35745239257812,-47.93523406982422,175.6150360107422,4.982107162475586,4.257593887736432
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-123.65289306640625,-67.2775650024414,-171.3074951171875,5.004270553588867,4.3253201011299245
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-153.51397705078125,-61.495216369628906,-168.16314697265625,5.100487232208252,4.2579648051888075
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-133.04574584960938,-73.14518737792969,172.51869201660156,5.377585411071777,4.182912913473903
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-119.90221405029297,-59.6828727722168,-174.0899200439453,5.19109582901001,4.065170656235469
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-122.50235748291016,-79.52626037597656,-168.96353149414062,5.190340518951416,4.0004071248547115
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-142.2911376953125,-91.99491119384766,-173.97528076171875,5.589661598205566,4.0314273146938735
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-137.2039031982422,-92.9573974609375,-178.1724395751953,5.419972896575928,3.8983164627811306
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-159.69761657714844,-73.98336791992188,-174.33456420898438,5.460968017578125,3.948408022571925
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-143.0113525390625,-86.6360855102539,-177.5617218017578,5.364891529083252,3.9661382703389343
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-140.44766235351562,-99.19474029541016,-176.01536560058594,5.630742073059082,4.065313143969804
ser,29ace4bc-be7a-46a8-b167-e52a50ba0fb2,-138.23870849609375,-73.54349517822266,179.91067504882812,5.167863368988037,4.04956784455938
