sequence,key,phi,psi,omega,e2e,rgyr
gly,2d93db44-d986-47d1-b314-5c41857a32f8,-127.89634704589844,51.37058639526367,-149.91928100585938,4.54718542098999,2.6034155646538784
gly,2d93db44-d986-47d1-b314-5c41857a32f8,-160.13421630859375,50.163299560546875,-173.0756072998047,5.03441858291626,2.8080079372681075
gly,2d93db44-d986-47d1-b314-5c41857a32f8,-170.01173400878906,97.24087524414062,-166.72723388671875,5.614245891571045,2.920818538338549
gly,2d93db44-d986-47d1-b314-5c41857a32f8,-155.7268829345703,170.2215576171875,-161.9876708984375,5.797059059143066,2.927204539929782
gly,2d93db44-d986-47d1-b314-5c41857a32f8,-177.8905792236328,-142.48582458496094,176.43511962890625,6.072650909423828,3.0427416401043916
gly,2d93db44-d986-47d1-b314-5c41857a32f8,88.92811584472656,-138.11642456054688,178.5159912109375,5.279669761657715,2.741796788592147
gly,2d93db44-d986-47d1-b314-5c41857a32f8,64.1533432006836,-39.52130126953125,-176.96517944335938,4.620999813079834,2.7296121289171884
gly,2d93db44-d986-47d1-b314-5c41857a32f8,126.12682342529297,-42.258636474609375,-178.359375,4.363410949707031,2.6490146414993405
gly,2d93db44-d986-47d1-b314-5c41857a32f8,167.13934326171875,-122.28933715820312,172.2129669189453,5.6777801513671875,2.9253300928858867
gly,2d93db44-d986-47d1-b314-5c41857a32f8,178.8194122314453,127.93109130859375,170.65245056152344,5.952670574188232,2.9994507671666595
gly,2d93db44-d986-47d1-b314-5c41857a32f8,-111.29264831542969,65.0028076171875,-176.0736846923828,4.63638162612915,2.690381227399918
gly,2d93db44-d986-47d1-b314-5c41857a32f8,-94.020263671875,74.77538299560547,159.1935577392578,4.789395809173584,2.7439213057960163
gly,2d93db44-d986-47d1-b314-5c41857a32f8,-112.37873077392578,145.6340789794922,-174.09059143066406,5.412071228027344,2.812029383140357
gly,2d93db44-d986-47d1-b314-5c41857a32f8,161.4823760986328,-160.1455078125,175.45005798339844,5.927056789398193,2.9594581149231316
gly,2d93db44-d986-47d1-b314-5c41857a32f8,120.14110565185547,-118.73572540283203,160.62994384765625,5.518558502197266,2.8694101983078983
gly,2d93db44-d986-47d1-b314-5c41857a32f8,74.87617492675781,-57.88421630859375,160.3191375732422,4.363000392913818,2.576199346884267
gly,2d93db44-d986-47d1-b314-5c41857a32f8,125.42890167236328,-79.6848373413086,170.92105102539062,5.160216331481934,2.801456439756067
gly,2d93db44-d986-47d1-b314-5c41857a32f8,105.92401885986328,-113.31333923339844,168.08700561523438,5.18172025680542,2.7455494472547994
gly,2d93db44-d986-47d1-b314-5c41857a32f8,94.2561264038086,-111.21369934082031,-172.80093383789062,5.3515753746032715,2.830475979478543
gly,2d93db44-d986-47d1-b314-5c41857a32f8,75.19733428955078,-48.514034271240234,179.87535095214844,4.120509624481201,2.564527148050292
gly,2d93db44-d986-47d1-b314-5c41857a32f8,97.82052612304688,-62.8073844909668,-156.11309814453125,4.73814582824707,2.726087947410889
gly,2d93db44-d986-47d1-b314-5c41857a32f8,54.92921447753906,-95.6077651977539,-160.6260528564453,4.728005886077881,2.698756053723693
gly,2d93db44-d986-47d1-b314-5c41857a32f8,80.45530700683594,-55.236751556396484,-165.60350036621094,4.407522678375244,2.6427725034391836
gly,2d93db44-d986-47d1-b314-5c41857a32f8,97.19900512695312,-68.5982437133789,-162.61703491210938,4.650519371032715,2.6979203214144536
gly,2d93db44-d986-47d1-b314-5c41857a32f8,61.85369110107422,-95.4317855834961,177.0691375732422,4.7541046142578125,2.6772105587579706
gly,2d93db44-d986-47d1-b314-5c41857a32f8,101.36837005615234,-44.91926193237305,179.23941040039062,4.645245552062988,2.680699984705027
gly,2d93db44-d986-47d1-b314-5c41857a32f8,90.21316528320312,-63.862525939941406,156.91200256347656,4.502445697784424,2.5939387879881752
gly,2d93db44-d986-47d1-b314-5c41857a32f8,91.60009002685547,-113.3504409790039,165.57579040527344,5.336058139801025,2.793463133692098
gly,2d93db44-d986-47d1-b314-5c41857a32f8,97.54219055175781,-100.79029083251953,156.4659881591797,5.108545780181885,2.699201344534102
gly,2d93db44-d986-47d1-b314-5c41857a32f8,77.07904052734375,-43.148162841796875,162.66580200195312,4.451137542724609,2.634447273291395
gly,2d93db44-d986-47d1-b314-5c41857a32f8,100.87310028076172,-93.67887878417969,176.16241455078125,4.865286827087402,2.700051552204149
gly,2d93db44-d986-47d1-b314-5c41857a32f8,76.76237487792969,-93.21395874023438,-169.535400390625,4.927572250366211,2.7325969312904577
gly,2d93db44-d986-47d1-b314-5c41857a32f8,70.95445251464844,-31.1851863861084,-171.86373901367188,4.28380012512207,2.616021348847408
gly,2d93db44-d986-47d1-b314-5c41857a32f8,87.56802368164062,-59.09531784057617,-162.14804077148438,4.40928316116333,2.670291411387732
gly,2d93db44-d986-47d1-b314-5c41857a32f8,74.71804809570312,-90.80853271484375,-158.34017944335938,4.810163497924805,2.729422794685056
gly,2d93db44-d986-47d1-b314-5c41857a32f8,82.78555297851562,-59.75933837890625,176.798583984375,4.368040084838867,2.642121505447412
gly,2d93db44-d986-47d1-b314-5c41857a32f8,92.40706634521484,-69.7876205444336,-170.6699981689453,4.777141094207764,2.744914047157934
gly,2d93db44-d986-47d1-b314-5c41857a32f8,89.48018646240234,-94.1243896484375,170.89996337890625,4.8353753089904785,2.694916184631259
gly,2d93db44-d986-47d1-b314-5c41857a32f8,82.9035415649414,-36.90812683105469,154.97035217285156,4.543854236602783,2.6477050905657395
gly,2d93db44-d986-47d1-b314-5c41857a32f8,88.75579071044922,-102.57427978515625,163.370849609375,5.146200656890869,2.778055568435184
gly,2d93db44-d986-47d1-b314-5c41857a32f8,114.0598373413086,-135.36802673339844,158.0684814453125,5.5637640953063965,2.816178549677497
gly,2d93db44-d986-47d1-b314-5c41857a32f8,144.0982208251953,-122.61393737792969,157.3002471923828,5.795129776000977,2.908784944926066
gly,2d93db44-d986-47d1-b314-5c41857a32f8,-172.80740356445312,-124.80768585205078,-179.35308837890625,5.758086204528809,2.9036077416911814
gly,2d93db44-d986-47d1-b314-5c41857a32f8,163.93817138671875,-174.38560485839844,-170.68899536132812,6.0183868408203125,3.0025972868420214
gly,2d93db44-d986-47d1-b314-5c41857a32f8,-159.61984252929688,156.87074279785156,-164.83306884765625,5.8080058097839355,2.9420409778567955
gly,2d93db44-d986-47d1-b314-5c41857a32f8,-137.06060791015625,147.40684509277344,176.5181427001953,5.911964416503906,2.948655428293842
gly,2d93db44-d986-47d1-b314-5c41857a32f8,176.7923126220703,153.91603088378906,-168.43325805664062,6.080338001251221,3.0159104718984246
gly,2d93db44-d986-47d1-b314-5c41857a32f8,176.1700897216797,-165.82220458984375,178.53897094726562,5.783735275268555,2.9374280965618915
gly,2d93db44-d986-47d1-b314-5c41857a32f8,175.5008544921875,-128.41624450683594,-178.80223083496094,5.971954345703125,3.007063063460679
gly,2d93db44-d986-47d1-b314-5c41857a32f8,124.64835357666016,-159.3144989013672,174.1370086669922,5.766939163208008,2.934972617726979
gly,2d93db44-d986-47d1-b314-5c41857a32f8,169.91104125976562,-160.83743286132812,169.62669372558594,5.958083152770996,2.986388127979256
gly,2d93db44-d986-47d1-b314-5c41857a32f8,-156.77740478515625,-171.30572509765625,178.7092742919922,5.997559070587158,2.962153986497055
gly,2d93db44-d986-47d1-b314-5c41857a32f8,160.27597045898438,139.18849182128906,176.56536865234375,5.935454368591309,2.9787042582092935
gly,2d93db44-d986-47d1-b314-5c41857a32f8,-158.5914764404297,157.9163818359375,-169.08230590820312,6.050394535064697,2.9973108385776572
gly,2d93db44-d986-47d1-b314-5c41857a32f8,-136.25660705566406,-171.21572875976562,-163.78857421875,5.9638590812683105,2.9683087557304777
gly,2d93db44-d986-47d1-b314-5c41857a32f8,152.8274688720703,171.86148071289062,178.43601989746094,6.003040313720703,2.981733694848392
gly,2d93db44-d986-47d1-b314-5c41857a32f8,-174.21214294433594,-155.13963317871094,173.7126007080078,5.936466693878174,2.9496417492486033
gly,2d93db44-d986-47d1-b314-5c41857a32f8,171.7334442138672,-148.2687225341797,168.70147705078125,5.975705623626709,2.9766682620387206
gly,2d93db44-d986-47d1-b314-5c41857a32f8,156.14950561523438,-160.58712768554688,-176.25921630859375,6.115845203399658,3.0037514503950575
gly,2d93db44-d986-47d1-b314-5c41857a32f8,-136.64785766601562,-174.00686645507812,178.26441955566406,5.932000637054443,2.9701679763734203
gly,2d93db44-d986-47d1-b314-5c41857a32f8,-168.8858184814453,139.0861358642578,173.46893310546875,5.752365589141846,2.907504283313019
gly,2d93db44-d986-47d1-b314-5c41857a32f8,162.89988708496094,119.33737182617188,-174.97933959960938,5.8265509605407715,2.978492740151515
gly,2d93db44-d986-47d1-b314-5c41857a32f8,-157.38829040527344,161.7783203125,-170.6577606201172,5.978762149810791,2.9898144662776582
gly,2d93db44-d986-47d1-b314-5c41857a32f8,-165.53253173828125,-163.308837890625,176.5799560546875,6.014581680297852,2.987464144822756
gly,2d93db44-d986-47d1-b314-5c41857a32f8,136.51637268066406,-161.08514404296875,160.0367889404297,5.99666166305542,2.983084657499275
gly,2d93db44-d986-47d1-b314-5c41857a32f8,160.63555908203125,-114.45262908935547,175.6806182861328,5.763319969177246,2.954552106179397
gly,2d93db44-d986-47d1-b314-5c41857a32f8,-175.1601104736328,-123.68220520019531,169.1207275390625,5.752764701843262,2.9416374978994453
