sequence,key,phi,psi,omega,e2e,rgyr
gly,30082b81-fb85-4d28-8042-249281c29735,91.97075653076172,-87.53602600097656,175.34056091308594,4.677499771118164,2.7046950062986843
gly,30082b81-fb85-4d28-8042-249281c29735,71.77194213867188,-35.4250602722168,-157.98171997070312,4.362661361694336,2.6468054509422765
gly,30082b81-fb85-4d28-8042-249281c29735,93.78684997558594,-94.61337280273438,-161.69142150878906,4.609983921051025,2.7081106158688684
gly,30082b81-fb85-4d28-8042-249281c29735,98.62040710449219,-110.47508239746094,-152.05813598632812,5.276276588439941,2.873448003177264
gly,30082b81-fb85-4d28-8042-249281c29735,93.66667175292969,-93.30955505371094,-169.25502014160156,4.748495578765869,2.6867582121552886
gly,30082b81-fb85-4d28-8042-249281c29735,71.28018188476562,-41.292179107666016,-171.47018432617188,4.340386867523193,2.6480670747491417
gly,30082b81-fb85-4d28-8042-249281c29735,96.17804718017578,-82.0564956665039,167.75021362304688,4.660238742828369,2.6362697595303843
gly,30082b81-fb85-4d28-8042-249281c29735,84.47937774658203,-67.01742553710938,173.4241485595703,4.6617960929870605,2.651734170513918
gly,30082b81-fb85-4d28-8042-249281c29735,104.50061798095703,-74.11833953857422,166.7196807861328,4.617982387542725,2.628067404244039
gly,30082b81-fb85-4d28-8042-249281c29735,76.85295104980469,-67.97604370117188,170.47769165039062,4.8250885009765625,2.691482488082623
gly,30082b81-fb85-4d28-8042-249281c29735,112.85569763183594,-91.18199157714844,-173.94960021972656,4.948451042175293,2.771273595233455
gly,30082b81-fb85-4d28-8042-249281c29735,115.22193908691406,-86.55084991455078,-164.38368225097656,4.729609489440918,2.7119078158835577
gly,30082b81-fb85-4d28-8042-249281c29735,59.896583557128906,-61.224082946777344,-167.9102325439453,4.445057392120361,2.6628232329430572
gly,30082b81-fb85-4d28-8042-249281c29735,124.1133804321289,-86.70574951171875,-171.3545684814453,5.070976734161377,2.78753136875346
gly,30082b81-fb85-4d28-8042-249281c29735,164.22393798828125,-117.62489318847656,-178.43536376953125,5.80049991607666,2.987532155851569
gly,30082b81-fb85-4d28-8042-249281c29735,171.23941040039062,175.71412658691406,174.2614288330078,5.92058801651001,2.9678260443258986
gly,30082b81-fb85-4d28-8042-249281c29735,-147.5599822998047,132.9412078857422,177.33761596679688,5.814256191253662,2.969111116800845
gly,30082b81-fb85-4d28-8042-249281c29735,-127.10372161865234,118.43115997314453,174.88031005859375,5.29056453704834,2.8587729056285673
gly,30082b81-fb85-4d28-8042-249281c29735,-116.81532287597656,117.20137023925781,169.7041473388672,5.3254475593566895,2.8406453612353615
gly,30082b81-fb85-4d28-8042-249281c29735,-115.23017883300781,81.05892944335938,161.81494140625,4.932036876678467,2.7800538724209845
gly,30082b81-fb85-4d28-8042-249281c29735,-64.77169036865234,53.347633361816406,173.8896942138672,4.454283714294434,2.67160928003105
gly,30082b81-fb85-4d28-8042-249281c29735,-93.94487762451172,98.1866226196289,172.8095245361328,4.884275913238525,2.7258042368564315
gly,30082b81-fb85-4d28-8042-249281c29735,-87.60651397705078,69.57672882080078,168.01272583007812,4.631187915802002,2.6892592089700886
gly,30082b81-fb85-4d28-8042-249281c29735,-94.01652526855469,55.24596405029297,-166.0350799560547,4.396866798400879,2.5857214173961127
gly,30082b81-fb85-4d28-8042-249281c29735,-89.49142456054688,95.97049713134766,-171.04942321777344,5.109419822692871,2.7938545246125073
gly,30082b81-fb85-4d28-8042-249281c29735,-93.24198150634766,78.91327667236328,-168.7664031982422,4.710362434387207,2.6610536395000506
gly,30082b81-fb85-4d28-8042-249281c29735,-92.44998931884766,40.05553436279297,-174.9148712158203,4.465455055236816,2.656670372357522
gly,30082b81-fb85-4d28-8042-249281c29735,-64.46442413330078,68.30140686035156,165.80874633789062,4.484594345092773,2.6653619050436923
gly,30082b81-fb85-4d28-8042-249281c29735,-93.13433837890625,91.38465118408203,164.73106384277344,4.909836292266846,2.752003355259992
gly,30082b81-fb85-4d28-8042-249281c29735,-80.70893096923828,53.80713653564453,172.23753356933594,4.351322650909424,2.636743116359148
gly,30082b81-fb85-4d28-8042-249281c29735,-96.02606964111328,80.25421142578125,169.39285278320312,4.873946189880371,2.7473211793247554
gly,30082b81-fb85-4d28-8042-249281c29735,-96.79955291748047,89.57759094238281,179.47320556640625,4.998586177825928,2.7678062328807336
gly,30082b81-fb85-4d28-8042-249281c29735,-71.54216766357422,53.236106872558594,-164.4656982421875,4.477747917175293,2.656989272850448
gly,30082b81-fb85-4d28-8042-249281c29735,-92.2552719116211,85.84496307373047,-170.5331573486328,5.058459758758545,2.766274948949331
gly,30082b81-fb85-4d28-8042-249281c29735,-78.7059097290039,82.66816711425781,-179.05810546875,4.743870258331299,2.6911490237824403
gly,30082b81-fb85-4d28-8042-249281c29735,-80.66146850585938,42.761959075927734,-179.36923217773438,4.393097877502441,2.663279808623454
gly,30082b81-fb85-4d28-8042-249281c29735,-73.49333190917969,61.899993896484375,172.17848205566406,4.539006233215332,2.676636346513316
gly,30082b81-fb85-4d28-8042-249281c29735,-92.4339599609375,92.0503158569336,166.8170928955078,4.8890509605407715,2.728418235591453
gly,30082b81-fb85-4d28-8042-249281c29735,-72.56159973144531,44.488426208496094,176.38555908203125,4.312251567840576,2.632824701283613
gly,30082b81-fb85-4d28-8042-249281c29735,-77.75789642333984,93.67308807373047,175.63914489746094,5.026513576507568,2.786577875212861
gly,30082b81-fb85-4d28-8042-249281c29735,-89.65750122070312,92.6807632446289,169.16818237304688,4.851807594299316,2.7038731388352684
gly,30082b81-fb85-4d28-8042-249281c29735,-80.43780517578125,47.28940200805664,-168.8629150390625,4.258159637451172,2.5885457602352777
gly,30082b81-fb85-4d28-8042-249281c29735,-80.33422088623047,81.65764617919922,179.77005004882812,4.800279140472412,2.694064654411711
gly,30082b81-fb85-4d28-8042-249281c29735,-97.32536315917969,69.11609649658203,-172.05007934570312,4.444245338439941,2.6308629236363945
gly,30082b81-fb85-4d28-8042-249281c29735,-81.35457611083984,62.92347717285156,179.15408325195312,4.612520217895508,2.68703588355931
gly,30082b81-fb85-4d28-8042-249281c29735,-77.6554183959961,90.61531066894531,-176.18289184570312,4.818540573120117,2.7150003800424702
gly,30082b81-fb85-4d28-8042-249281c29735,-93.5155029296875,63.790870666503906,174.14761352539062,4.531668186187744,2.663937091893152
gly,30082b81-fb85-4d28-8042-249281c29735,-103.06417846679688,84.6524887084961,169.91964721679688,4.735177040100098,2.6852296089507455
gly,30082b81-fb85-4d28-8042-249281c29735,-96.27484130859375,120.6971664428711,176.72793579101562,5.422237873077393,2.83405624631153
gly,30082b81-fb85-4d28-8042-249281c29735,-128.69894409179688,135.52552795410156,174.7752227783203,5.580415725708008,2.8751033528691234
gly,30082b81-fb85-4d28-8042-249281c29735,175.00607299804688,162.5749053955078,172.0497283935547,6.075579643249512,3.0251567864656908
gly,30082b81-fb85-4d28-8042-249281c29735,161.63026428222656,-131.58746337890625,177.08189392089844,5.823641300201416,2.9467228132184444
gly,30082b81-fb85-4d28-8042-249281c29735,156.6805877685547,-100.53598022460938,178.11080932617188,5.454226016998291,2.8958530081105027
gly,30082b81-fb85-4d28-8042-249281c29735,129.8922882080078,-110.62638854980469,-169.3325958251953,5.270779609680176,2.854909715373825
