sequence,key,phi,psi,omega,e2e,rgyr
ser,521d195f-a4a4-4900-97a5-77d89834539f,-86.9150161743164,175.34390258789062,-161.96737670898438,5.940268516540527,6.6308507677028645
ser,521d195f-a4a4-4900-97a5-77d89834539f,-70.76766967773438,172.534423828125,-164.0772705078125,5.727712154388428,6.359451042590151
ser,521d195f-a4a4-4900-97a5-77d89834539f,-94.72477722167969,-160.70945739746094,-178.07106018066406,5.76558780670166,6.491513824044775
ser,521d195f-a4a4-4900-97a5-77d89834539f,-84.02113342285156,-151.40072631835938,178.4763641357422,5.749410629272461,6.3036102197776005
ser,521d195f-a4a4-4900-97a5-77d89834539f,-102.22223663330078,-162.50973510742188,174.655517578125,5.857024669647217,6.4242495288332275
ser,521d195f-a4a4-4900-97a5-77d89834539f,-142.1426239013672,158.5390625,161.65423583984375,5.862374782562256,6.256882290954064
ser,521d195f-a4a4-4900-97a5-77d89834539f,-123.3531265258789,-176.6969757080078,171.77500915527344,5.97704553604126,6.260990749435206
ser,521d195f-a4a4-4900-97a5-77d89834539f,-125.4539566040039,-168.94692993164062,-163.94500732421875,5.880492687225342,6.272196911893192
ser,521d195f-a4a4-4900-97a5-77d89834539f,-70.13260650634766,-137.7044677734375,173.70562744140625,5.668357849121094,6.239349210612044
ser,521d195f-a4a4-4900-97a5-77d89834539f,-104.68848419189453,-172.00906372070312,172.41920471191406,5.931073188781738,6.178369954605628
ser,521d195f-a4a4-4900-97a5-77d89834539f,-84.55642700195312,-152.25148010253906,179.28025817871094,5.990119934082031,6.400942850353969
ser,521d195f-a4a4-4900-97a5-77d89834539f,-98.29793548583984,-176.10586547851562,170.66395568847656,5.711801528930664,6.656672493588598
ser,521d195f-a4a4-4900-97a5-77d89834539f,-121.35729217529297,144.91488647460938,179.84544372558594,5.705592632293701,6.474226012732511
ser,521d195f-a4a4-4900-97a5-77d89834539f,-115.17351531982422,154.46078491210938,174.56991577148438,5.702392101287842,6.433791422077691
ser,521d195f-a4a4-4900-97a5-77d89834539f,-99.27657318115234,125.42243194580078,173.66123962402344,5.0843987464904785,6.310653335061634
ser,521d195f-a4a4-4900-97a5-77d89834539f,-83.7644271850586,126.0728530883789,166.40789794921875,5.226430892944336,6.251228470014106
ser,521d195f-a4a4-4900-97a5-77d89834539f,-93.29068756103516,153.80694580078125,170.9875946044922,5.758403778076172,6.212358857077606
ser,521d195f-a4a4-4900-97a5-77d89834539f,-99.03945922851562,132.84359741210938,-174.8556365966797,5.579128265380859,6.205790720996519
