sequence,key,phi,psi,omega,e2e,rgyr
ser,712e9902-cc4a-45eb-b2fb-7bd0f063e863,-107.55787658691406,-35.5461311340332,-169.3092041015625,4.890697479248047,7.405014058773759
ser,712e9902-cc4a-45eb-b2fb-7bd0f063e863,-58.83226013183594,-43.448490142822266,175.10655212402344,4.508416652679443,7.447048338693266
ser,712e9902-cc4a-45eb-b2fb-7bd0f063e863,-75.37588500976562,-39.808258056640625,-167.85606384277344,4.677715301513672,7.29584962580231
ser,712e9902-cc4a-45eb-b2fb-7bd0f063e863,-57.20882797241211,-38.66599655151367,-179.15753173828125,4.3971171379089355,7.208534881320638
ser,712e9902-cc4a-45eb-b2fb-7bd0f063e863,-69.36032104492188,-62.86024856567383,168.2429656982422,4.864805698394775,7.102151536881237
ser,712e9902-cc4a-45eb-b2fb-7bd0f063e863,-51.42190170288086,-61.3586311340332,171.4228515625,4.735235214233398,7.011580393562111
ser,712e9902-cc4a-45eb-b2fb-7bd0f063e863,-80.81810760498047,-33.247047424316406,178.13743591308594,4.189805030822754,7.03416873181161
ser,712e9902-cc4a-45eb-b2fb-7bd0f063e863,-70.57682037353516,-36.99847412109375,-178.24964904785156,4.771783351898193,7.115448061210119
ser,712e9902-cc4a-45eb-b2fb-7bd0f063e863,-69.3191909790039,-60.562339782714844,-176.29281616210938,4.814718723297119,6.944899453409585
ser,712e9902-cc4a-45eb-b2fb-7bd0f063e863,-56.26335525512695,-65.2123794555664,-179.90682983398438,4.7879815101623535,7.05990422004108
ser,712e9902-cc4a-45eb-b2fb-7bd0f063e863,-118.54093170166016,-32.86551284790039,-169.84417724609375,4.63851261138916,7.030322454845907
ser,712e9902-cc4a-45eb-b2fb-7bd0f063e863,-107.67921447753906,-86.15946960449219,169.3988800048828,5.030442237854004,7.065894882659128
ser,712e9902-cc4a-45eb-b2fb-7bd0f063e863,-105.32268524169922,-50.51013946533203,-174.30386352539062,4.951643466949463,6.836845063380703
ser,712e9902-cc4a-45eb-b2fb-7bd0f063e863,-120.94364166259766,-53.187740325927734,165.20619201660156,5.005350112915039,6.947938928637018
ser,712e9902-cc4a-45eb-b2fb-7bd0f063e863,-98.17566680908203,-55.90038299560547,177.0157928466797,4.6863837242126465,7.469860376202754
ser,712e9902-cc4a-45eb-b2fb-7bd0f063e863,-84.08854675292969,-66.68505859375,-167.70291137695312,4.8323564529418945,7.1078750795180445
ser,712e9902-cc4a-45eb-b2fb-7bd0f063e863,-87.29906463623047,-69.15575408935547,177.38088989257812,4.839949131011963,6.728878350897562
