sequence,key,phi,psi,omega,e2e,rgyr
ser,7bd0d0ee-d414-452a-a029-17700be34713,-175.86410522460938,-151.82015991210938,-166.6383819580078,5.948072910308838,2.9861671976484305
ser,7bd0d0ee-d414-452a-a029-17700be34713,-168.2449188232422,-178.4163818359375,-176.04039001464844,6.026871204376221,2.974752918891951
ser,7bd0d0ee-d414-452a-a029-17700be34713,-152.36264038085938,170.1403045654297,-169.2723388671875,5.928094387054443,2.9965452121455476
ser,7bd0d0ee-d414-452a-a029-17700be34713,-162.7577362060547,-163.59872436523438,-167.75146484375,6.13932991027832,3.0032109201885246
ser,7bd0d0ee-d414-452a-a029-17700be34713,-169.5968017578125,-153.86256408691406,173.5406951904297,5.910057544708252,2.9438453198993333
ser,7bd0d0ee-d414-452a-a029-17700be34713,-154.86245727539062,-179.55950927734375,173.08433532714844,5.97350549697876,2.9742965875739897
ser,7bd0d0ee-d414-452a-a029-17700be34713,-149.44796752929688,167.62078857421875,175.81101989746094,5.836441993713379,2.940809279055317
ser,7bd0d0ee-d414-452a-a029-17700be34713,-161.39292907714844,-153.26187133789062,173.36148071289062,5.937321662902832,2.9754773070305096
ser,7bd0d0ee-d414-452a-a029-17700be34713,-155.63009643554688,-141.12744140625,167.7679901123047,5.872084617614746,2.919217591512282
ser,7bd0d0ee-d414-452a-a029-17700be34713,-168.29727172851562,158.9825897216797,174.77357482910156,6.035090923309326,3.0299320544713497
ser,7bd0d0ee-d414-452a-a029-17700be34713,-134.32203674316406,144.87547302246094,161.2427978515625,5.6957831382751465,2.9447077597867968
ser,7bd0d0ee-d414-452a-a029-17700be34713,-134.77577209472656,158.28253173828125,-179.17713928222656,5.862730503082275,3.006980735325816
ser,7bd0d0ee-d414-452a-a029-17700be34713,-176.86541748046875,-155.72348022460938,164.1856689453125,5.966156959533691,2.95501742422175
ser,7bd0d0ee-d414-452a-a029-17700be34713,-136.84608459472656,-145.12879943847656,169.34332275390625,5.9546709060668945,2.981151135983506
ser,7bd0d0ee-d414-452a-a029-17700be34713,-159.09469604492188,159.7976531982422,173.74330139160156,5.9798431396484375,3.010440626413009
ser,7bd0d0ee-d414-452a-a029-17700be34713,-153.79888916015625,177.05712890625,172.99778747558594,5.929412841796875,2.9573849249682307
ser,7bd0d0ee-d414-452a-a029-17700be34713,-170.1619110107422,-152.99124145507812,164.03140258789062,5.810537815093994,2.9458287230691074
ser,7bd0d0ee-d414-452a-a029-17700be34713,176.0753631591797,-149.0676727294922,175.94309997558594,5.941990852355957,2.9404752698403125
ser,7bd0d0ee-d414-452a-a029-17700be34713,-117.81256103515625,-179.64492797851562,-173.4145965576172,6.020564079284668,3.0035841167313047
ser,7bd0d0ee-d414-452a-a029-17700be34713,-135.4070587158203,138.65773010253906,-171.0019989013672,5.609091281890869,2.905368608860893
ser,7bd0d0ee-d414-452a-a029-17700be34713,-164.39736938476562,174.9307861328125,-172.6721649169922,6.0791707038879395,2.9901368918789673
ser,7bd0d0ee-d414-452a-a029-17700be34713,-171.78936767578125,-126.35248565673828,174.62319946289062,5.568493843078613,2.9108168293896153
ser,7bd0d0ee-d414-452a-a029-17700be34713,-167.5814208984375,-138.01898193359375,169.5033721923828,5.828869342803955,2.944944759759508
ser,7bd0d0ee-d414-452a-a029-17700be34713,-148.73902893066406,157.16015625,-179.18560791015625,5.809591293334961,2.9447119277267504
ser,7bd0d0ee-d414-452a-a029-17700be34713,-142.90670776367188,164.74649047851562,-175.84312438964844,5.881284713745117,2.9774444293925257
ser,7bd0d0ee-d414-452a-a029-17700be34713,-162.99481201171875,-150.02203369140625,167.76612854003906,5.996860504150391,2.9532549583565255
ser,7bd0d0ee-d414-452a-a029-17700be34713,-174.64695739746094,-150.16127014160156,161.5911407470703,6.168752193450928,2.9757823067432803
ser,7bd0d0ee-d414-452a-a029-17700be34713,-138.7041015625,163.86441040039062,174.94178771972656,5.819009304046631,2.936294407075656
ser,7bd0d0ee-d414-452a-a029-17700be34713,-134.05282592773438,137.60317993164062,173.28846740722656,5.684371471405029,2.9721050657016304
ser,7bd0d0ee-d414-452a-a029-17700be34713,-152.0605010986328,147.9600830078125,-178.36968994140625,5.743701457977295,2.953820440888523
ser,7bd0d0ee-d414-452a-a029-17700be34713,-169.27024841308594,161.7631378173828,179.9741973876953,6.070582866668701,3.0089837058383484
ser,7bd0d0ee-d414-452a-a029-17700be34713,-164.8126678466797,165.62538146972656,-175.71994018554688,5.980005741119385,2.9911177350377463
ser,7bd0d0ee-d414-452a-a029-17700be34713,-161.816162109375,-164.92446899414062,-176.68515014648438,6.096406936645508,3.0058602854318903
ser,7bd0d0ee-d414-452a-a029-17700be34713,-169.91799926757812,-149.4730682373047,-175.591552734375,5.9216508865356445,2.968934468489401
ser,7bd0d0ee-d414-452a-a029-17700be34713,-150.48614501953125,-167.0438995361328,-169.384033203125,5.969278335571289,2.9465325281007693
ser,7bd0d0ee-d414-452a-a029-17700be34713,-165.1782684326172,174.59397888183594,-175.02076721191406,5.831843852996826,2.9381055463604446
ser,7bd0d0ee-d414-452a-a029-17700be34713,-173.0640411376953,-155.35952758789062,-177.15606689453125,5.844756603240967,2.9459436897551554
ser,7bd0d0ee-d414-452a-a029-17700be34713,-169.72439575195312,-161.88624572753906,-178.95477294921875,5.890967845916748,2.9583762906084545
ser,7bd0d0ee-d414-452a-a029-17700be34713,-153.2611541748047,178.58872985839844,-173.34600830078125,5.997004508972168,2.9771975377804027
ser,7bd0d0ee-d414-452a-a029-17700be34713,-158.6995849609375,-178.270751953125,-177.97499084472656,6.032007217407227,3.018619639409488
ser,7bd0d0ee-d414-452a-a029-17700be34713,-161.75762939453125,-152.07992553710938,178.5146484375,5.892429828643799,2.9531047812454854
ser,7bd0d0ee-d414-452a-a029-17700be34713,-161.95852661132812,-158.9984588623047,-174.11708068847656,6.0201802253723145,3.009693462715525
ser,7bd0d0ee-d414-452a-a029-17700be34713,-153.91314697265625,177.7202911376953,-171.20657348632812,5.844438552856445,2.934944671726445
ser,7bd0d0ee-d414-452a-a029-17700be34713,-174.97286987304688,-165.49716186523438,176.29383850097656,6.004403591156006,2.982112242929958
ser,7bd0d0ee-d414-452a-a029-17700be34713,-161.52459716796875,-173.8898468017578,-179.51316833496094,5.974287033081055,2.987521216220201
ser,7bd0d0ee-d414-452a-a029-17700be34713,-141.9269561767578,-155.47886657714844,-179.302490234375,6.067264556884766,2.9901374465572093
ser,7bd0d0ee-d414-452a-a029-17700be34713,-179.0159454345703,-177.85977172851562,168.39955139160156,6.063527584075928,3.0199108875328764
ser,7bd0d0ee-d414-452a-a029-17700be34713,-144.1905975341797,-177.12509155273438,-177.05487060546875,5.967098236083984,3.008737307536032
ser,7bd0d0ee-d414-452a-a029-17700be34713,-169.26498413085938,166.9259033203125,177.7582550048828,5.906041145324707,2.976627358288587
ser,7bd0d0ee-d414-452a-a029-17700be34713,-156.87127685546875,-151.03628540039062,171.91429138183594,6.061644077301025,2.963862381977606
ser,7bd0d0ee-d414-452a-a029-17700be34713,-168.9536895751953,-158.2076873779297,-176.39100646972656,5.786044120788574,2.8989880444773757
ser,7bd0d0ee-d414-452a-a029-17700be34713,-149.79664611816406,-175.00953674316406,-176.7182159423828,5.9947919845581055,2.962865574782686
ser,7bd0d0ee-d414-452a-a029-17700be34713,-161.499755859375,-165.51202392578125,-171.71128845214844,5.8697590827941895,2.9576062167165977
ser,7bd0d0ee-d414-452a-a029-17700be34713,-165.17776489257812,-160.50686645507812,-173.34336853027344,6.06203556060791,3.013685551081638
