sequence,key,phi,psi,omega,e2e,rgyr
ser,939a0ab1-149a-47bf-90db-c5da2d2d74e1,-155.9620819091797,-172.16546630859375,160.62425231933594,6.151584625244141,3.015751055106452
ser,939a0ab1-149a-47bf-90db-c5da2d2d74e1,-151.59629821777344,-177.76434326171875,167.62960815429688,5.927179336547852,2.9863708060884204
ser,939a0ab1-149a-47bf-90db-c5da2d2d74e1,-149.1685028076172,176.11761474609375,166.61842346191406,5.899491310119629,2.998557918975851
ser,939a0ab1-149a-47bf-90db-c5da2d2d74e1,-156.2000274658203,176.1011505126953,152.04551696777344,5.8351969718933105,2.9201500099460023
ser,939a0ab1-149a-47bf-90db-c5da2d2d74e1,-149.64170837402344,-156.8055419921875,163.29605102539062,5.907276630401611,2.96084249732872
ser,939a0ab1-149a-47bf-90db-c5da2d2d74e1,-160.59703063964844,-173.8253173828125,164.9907989501953,6.062557220458984,2.974607395612619
ser,939a0ab1-149a-47bf-90db-c5da2d2d74e1,-148.07989501953125,178.7097625732422,-173.6940460205078,5.95355224609375,3.012847480643278
ser,939a0ab1-149a-47bf-90db-c5da2d2d74e1,-164.7174835205078,178.01588439941406,174.0961456298828,6.105896949768066,3.0229382610093642
ser,939a0ab1-149a-47bf-90db-c5da2d2d74e1,-158.33277893066406,-172.3329620361328,178.58688354492188,6.022038459777832,2.9944891693083977
ser,939a0ab1-149a-47bf-90db-c5da2d2d74e1,-150.2211151123047,-159.03480529785156,-169.11679077148438,5.9123735427856445,2.9815683694355473
ser,939a0ab1-149a-47bf-90db-c5da2d2d74e1,-179.1785888671875,-170.01173400878906,-177.49974060058594,5.9179911613464355,2.950506530318729
ser,939a0ab1-149a-47bf-90db-c5da2d2d74e1,-157.8352508544922,-175.27430725097656,-165.31802368164062,6.092000961303711,3.0290474474986966
ser,939a0ab1-149a-47bf-90db-c5da2d2d74e1,-159.97845458984375,-168.31373596191406,-166.06207275390625,6.098162651062012,3.0093112134659963
ser,939a0ab1-149a-47bf-90db-c5da2d2d74e1,-157.7823944091797,-155.47039794921875,-175.25144958496094,5.959104537963867,2.982007124778537
ser,939a0ab1-149a-47bf-90db-c5da2d2d74e1,-174.4285888671875,-177.6342315673828,-177.68321228027344,5.888556003570557,2.960269840012535
ser,939a0ab1-149a-47bf-90db-c5da2d2d74e1,-154.70455932617188,178.39698791503906,-175.47291564941406,5.914785385131836,2.9522108616128575
