sequence,key,phi,psi,omega,e2e,rgyr
gly,a5c62525-a227-40f9-b076-840e918e52b5,167.45652770996094,70.15670776367188,-174.0027313232422,5.284414291381836,4.851229962710575
gly,a5c62525-a227-40f9-b076-840e918e52b5,-170.18971252441406,47.14419937133789,-169.1551971435547,4.914291858673096,4.9701769499035215
gly,a5c62525-a227-40f9-b076-840e918e52b5,-135.58596801757812,41.112525939941406,176.1836700439453,4.711585998535156,5.021186469883479
gly,a5c62525-a227-40f9-b076-840e918e52b5,-100.51541900634766,64.04679870605469,178.42527770996094,4.6991496086120605,4.946630957107753
gly,a5c62525-a227-40f9-b076-840e918e52b5,-100.34439849853516,25.674240112304688,-177.76788330078125,4.197518348693848,5.184435972588603
gly,a5c62525-a227-40f9-b076-840e918e52b5,-77.9278335571289,-18.04718780517578,175.49501037597656,4.395224571228027,5.160916287749185
gly,a5c62525-a227-40f9-b076-840e918e52b5,-74.58259582519531,29.34456443786621,-178.76998901367188,4.094054222106934,5.2146880030794005
gly,a5c62525-a227-40f9-b076-840e918e52b5,-89.26769256591797,48.30642318725586,-179.143310546875,4.369954586029053,5.239732354216294
gly,a5c62525-a227-40f9-b076-840e918e52b5,-99.58763885498047,36.795982360839844,179.49163818359375,4.523881435394287,5.284894435789913
gly,a5c62525-a227-40f9-b076-840e918e52b5,-124.27227783203125,67.83045959472656,-173.91064453125,4.6966753005981445,5.459290723382917
gly,a5c62525-a227-40f9-b076-840e918e52b5,-115.18309020996094,62.74555587768555,-167.38661193847656,4.537484645843506,5.414526741213956
gly,a5c62525-a227-40f9-b076-840e918e52b5,-97.5665054321289,77.88760375976562,-162.96505737304688,4.723713397979736,5.407708745491508
gly,a5c62525-a227-40f9-b076-840e918e52b5,-103.35916137695312,82.02864837646484,-170.8335418701172,4.566961288452148,5.402281482788792
gly,a5c62525-a227-40f9-b076-840e918e52b5,-117.41258239746094,94.6999282836914,-178.76795959472656,4.9426069259643555,5.425238581614276
gly,a5c62525-a227-40f9-b076-840e918e52b5,-126.59869384765625,73.92062377929688,176.10316467285156,5.118205547332764,5.455301290220455
gly,a5c62525-a227-40f9-b076-840e918e52b5,-101.03297424316406,46.546539306640625,-178.04525756835938,4.500608444213867,5.4959570787668754
gly,a5c62525-a227-40f9-b076-840e918e52b5,-86.90741729736328,54.20995330810547,178.07550048828125,4.259897232055664,5.667727066890088
gly,a5c62525-a227-40f9-b076-840e918e52b5,-111.06758880615234,80.59683227539062,169.82215881347656,4.902933597564697,5.720514623114519
gly,a5c62525-a227-40f9-b076-840e918e52b5,-69.3074722290039,102.50281524658203,171.66549682617188,4.958549976348877,5.796273381394359
gly,a5c62525-a227-40f9-b076-840e918e52b5,-84.4242935180664,110.56964874267578,177.02444458007812,5.068787574768066,5.664195972173463
gly,a5c62525-a227-40f9-b076-840e918e52b5,-80.92777252197266,104.12836456298828,171.8031768798828,5.128442287445068,5.531064164106622
gly,a5c62525-a227-40f9-b076-840e918e52b5,-112.0539321899414,84.05223083496094,-179.51632690429688,4.833945274353027,5.578332891784292
gly,a5c62525-a227-40f9-b076-840e918e52b5,-101.2916488647461,81.4006118774414,168.6719207763672,4.974297523498535,5.339763348757942
gly,a5c62525-a227-40f9-b076-840e918e52b5,-106.83690643310547,98.16655731201172,178.51524353027344,5.343253135681152,5.231045943566868
gly,a5c62525-a227-40f9-b076-840e918e52b5,-100.16876220703125,80.88138580322266,-174.83079528808594,4.639367580413818,5.26066187101968
gly,a5c62525-a227-40f9-b076-840e918e52b5,-131.97384643554688,87.4869613647461,-169.55262756347656,5.519271373748779,5.140192693033977
gly,a5c62525-a227-40f9-b076-840e918e52b5,-110.0448989868164,83.7837905883789,-166.36203002929688,5.052615165710449,5.04507464853985
gly,a5c62525-a227-40f9-b076-840e918e52b5,-117.78748321533203,90.07395935058594,178.40713500976562,5.002565383911133,5.15711161663047
gly,a5c62525-a227-40f9-b076-840e918e52b5,-100.7458267211914,87.23858642578125,-175.10650634765625,4.843476295471191,4.993769700101232
gly,a5c62525-a227-40f9-b076-840e918e52b5,-128.41453552246094,84.29922485351562,179.51663208007812,4.74581241607666,5.108664723357936
gly,a5c62525-a227-40f9-b076-840e918e52b5,-175.37826538085938,134.62060546875,-176.74078369140625,6.12739372253418,5.173293650700474
gly,a5c62525-a227-40f9-b076-840e918e52b5,177.72900390625,166.0287628173828,170.09317016601562,6.144321918487549,5.098035159855428
gly,a5c62525-a227-40f9-b076-840e918e52b5,124.2760238647461,173.08984375,-175.87831115722656,5.924564838409424,5.033881784499165
gly,a5c62525-a227-40f9-b076-840e918e52b5,-164.4449920654297,159.32521057128906,-178.02978515625,5.9519500732421875,5.107222145136506
gly,a5c62525-a227-40f9-b076-840e918e52b5,-150.0656280517578,166.6407928466797,178.67733764648438,5.728117942810059,5.2755653850824205
gly,a5c62525-a227-40f9-b076-840e918e52b5,176.6934356689453,169.2212371826172,168.44717407226562,6.0582475662231445,5.1669031650265485
gly,a5c62525-a227-40f9-b076-840e918e52b5,167.69976806640625,176.06683349609375,-172.30072021484375,6.100776195526123,5.350393867092923
gly,a5c62525-a227-40f9-b076-840e918e52b5,142.31910705566406,-162.8076629638672,-169.93820190429688,5.879055500030518,5.546282278671155
gly,a5c62525-a227-40f9-b076-840e918e52b5,153.96875,-157.2119140625,-177.1834259033203,5.956727504730225,5.812973465565075
gly,a5c62525-a227-40f9-b076-840e918e52b5,155.36038208007812,-146.27651977539062,168.02224731445312,5.783603668212891,5.6902324503603126
gly,a5c62525-a227-40f9-b076-840e918e52b5,153.2353973388672,-139.78897094726562,-171.09463500976562,5.522335529327393,5.5799350895591235
gly,a5c62525-a227-40f9-b076-840e918e52b5,-172.74261474609375,-176.54249572753906,168.78443908691406,6.194314002990723,5.502428259640084
gly,a5c62525-a227-40f9-b076-840e918e52b5,178.94488525390625,163.11367797851562,-174.3975372314453,6.060352325439453,5.294085733155443
gly,a5c62525-a227-40f9-b076-840e918e52b5,156.5264892578125,-135.34808349609375,-172.18154907226562,5.883164405822754,5.340502371141865
gly,a5c62525-a227-40f9-b076-840e918e52b5,142.35916137695312,-157.64663696289062,-168.0350799560547,5.76209020614624,5.493417883971721
gly,a5c62525-a227-40f9-b076-840e918e52b5,157.15443420410156,150.06741333007812,-162.8716583251953,6.116165637969971,5.659370117430503
gly,a5c62525-a227-40f9-b076-840e918e52b5,165.3197479248047,116.50944519042969,-175.99029541015625,5.8164286613464355,5.925939843453655
gly,a5c62525-a227-40f9-b076-840e918e52b5,124.49295043945312,93.36054992675781,-179.8614044189453,5.280836582183838,5.678450817674033
gly,a5c62525-a227-40f9-b076-840e918e52b5,153.61378479003906,106.89366149902344,176.47938537597656,5.779060363769531,5.9245185542313745
gly,a5c62525-a227-40f9-b076-840e918e52b5,-149.86822509765625,146.1138916015625,172.69915771484375,6.052264213562012,6.049146566519829
gly,a5c62525-a227-40f9-b076-840e918e52b5,139.63339233398438,158.07057189941406,-178.1243438720703,6.091026782989502,6.143341063826058
gly,a5c62525-a227-40f9-b076-840e918e52b5,168.38504028320312,-147.29881286621094,-171.6463165283203,5.858474254608154,6.018254111132627
gly,a5c62525-a227-40f9-b076-840e918e52b5,-167.04522705078125,-161.1294708251953,174.03265380859375,6.06897497177124,5.859300425661797
gly,a5c62525-a227-40f9-b076-840e918e52b5,-175.93238830566406,-152.0781707763672,178.16848754882812,5.913895606994629,5.849730936426619
gly,a5c62525-a227-40f9-b076-840e918e52b5,175.16908264160156,171.0911407470703,-173.66000366210938,6.027978897094727,5.449894951324176
gly,a5c62525-a227-40f9-b076-840e918e52b5,160.37928771972656,94.29116821289062,171.83560180664062,5.362954616546631,5.238854670202664
gly,a5c62525-a227-40f9-b076-840e918e52b5,159.20611572265625,145.90704345703125,-176.6274871826172,6.078507423400879,5.338483520100929
gly,a5c62525-a227-40f9-b076-840e918e52b5,-171.28732299804688,142.45620727539062,-169.45477294921875,5.713038444519043,5.387455064754732
gly,a5c62525-a227-40f9-b076-840e918e52b5,-165.13604736328125,134.34461975097656,-171.4935302734375,5.835752010345459,5.522092223984009
gly,a5c62525-a227-40f9-b076-840e918e52b5,179.04298400878906,-166.85565185546875,-169.86053466796875,5.996382713317871,5.48575152491856
gly,a5c62525-a227-40f9-b076-840e918e52b5,-171.91436767578125,-157.7639923095703,170.6542205810547,6.045406341552734,5.491739169678126
gly,a5c62525-a227-40f9-b076-840e918e52b5,178.1361541748047,-178.90293884277344,176.0853271484375,6.145205020904541,5.561806437784845
gly,a5c62525-a227-40f9-b076-840e918e52b5,164.76266479492188,-156.8415069580078,179.48355102539062,6.0361480712890625,5.615958296962089
gly,a5c62525-a227-40f9-b076-840e918e52b5,136.29238891601562,-136.0198974609375,174.29693603515625,5.557655334472656,5.63670189253606
gly,a5c62525-a227-40f9-b076-840e918e52b5,94.66824340820312,-141.57940673828125,178.60931396484375,5.6173930168151855,5.291814046093976
gly,a5c62525-a227-40f9-b076-840e918e52b5,104.9731674194336,-132.37232971191406,165.76800537109375,5.680996417999268,4.931833472545813
