sequence,key,phi,psi,omega,e2e,rgyr
ser,a87baf08-9942-41b8-905e-6f7190563268,-130.35638427734375,-170.15936279296875,-166.64390563964844,5.85671854019165,2.959588355590155
ser,a87baf08-9942-41b8-905e-6f7190563268,-175.3517608642578,174.0874786376953,-175.20545959472656,6.105610370635986,3.017828885168036
ser,a87baf08-9942-41b8-905e-6f7190563268,-152.16183471679688,-160.9982452392578,-166.8855743408203,6.14296293258667,3.009636811767875
ser,a87baf08-9942-41b8-905e-6f7190563268,-159.8500518798828,-167.5220489501953,-174.0232391357422,6.013854026794434,3.035841422159205
ser,a87baf08-9942-41b8-905e-6f7190563268,-171.82357788085938,176.401123046875,-179.92691040039062,5.952151775360107,2.9408326278248844
ser,a87baf08-9942-41b8-905e-6f7190563268,-130.5367431640625,174.856201171875,-173.36781311035156,5.715814113616943,2.9938523702231707
ser,a87baf08-9942-41b8-905e-6f7190563268,-161.468505859375,-174.39463806152344,-171.36598205566406,5.93770170211792,2.9889322207625417
ser,a87baf08-9942-41b8-905e-6f7190563268,-153.12852478027344,-159.35992431640625,173.28689575195312,6.0088043212890625,2.9990262648885735
ser,a87baf08-9942-41b8-905e-6f7190563268,-147.86581420898438,-167.01455688476562,-169.1232147216797,5.790337562561035,2.941249828935997
ser,a87baf08-9942-41b8-905e-6f7190563268,-166.0220184326172,156.4627685546875,-178.8448944091797,6.253007888793945,3.041417147815497
ser,a87baf08-9942-41b8-905e-6f7190563268,-156.07113647460938,-175.817138671875,-174.42037963867188,5.927542209625244,2.986319933049233
ser,a87baf08-9942-41b8-905e-6f7190563268,-158.87942504882812,-163.8980255126953,179.7938232421875,5.900675296783447,2.9501505690333385
ser,a87baf08-9942-41b8-905e-6f7190563268,-174.7686004638672,174.74195861816406,-179.2667236328125,6.06563663482666,2.966680731753235
ser,a87baf08-9942-41b8-905e-6f7190563268,-166.76585388183594,169.22999572753906,-171.64718627929688,5.924505710601807,2.983765503185132
ser,a87baf08-9942-41b8-905e-6f7190563268,-168.5557098388672,-178.9228973388672,-170.37515258789062,5.89429235458374,2.9141179355302365
ser,a87baf08-9942-41b8-905e-6f7190563268,-164.7312469482422,-165.8751678466797,172.73489379882812,6.107231616973877,3.0092094705508377
ser,a87baf08-9942-41b8-905e-6f7190563268,-169.28041076660156,-162.89999389648438,-176.1115264892578,6.077783107757568,2.9730255833809838
ser,a87baf08-9942-41b8-905e-6f7190563268,-155.85707092285156,175.59291076660156,-178.3673858642578,6.046738147735596,3.0396905917050066
ser,a87baf08-9942-41b8-905e-6f7190563268,-166.3428955078125,176.12159729003906,-175.35623168945312,5.812985897064209,2.961678147444268
ser,a87baf08-9942-41b8-905e-6f7190563268,-168.3711700439453,-165.53961181640625,179.3846435546875,6.060370922088623,2.997765635043783
ser,a87baf08-9942-41b8-905e-6f7190563268,-164.80633544921875,-171.38587951660156,174.25169372558594,5.902419090270996,2.9762612581859478
ser,a87baf08-9942-41b8-905e-6f7190563268,-160.2457733154297,179.45266723632812,175.873046875,6.000868320465088,2.9946988579467724
ser,a87baf08-9942-41b8-905e-6f7190563268,-157.14529418945312,-159.43533325195312,176.54356384277344,5.923151969909668,2.9403484695109237
ser,a87baf08-9942-41b8-905e-6f7190563268,-149.78172302246094,-165.32803344726562,168.1060028076172,5.941375255584717,2.975633489517001
ser,a87baf08-9942-41b8-905e-6f7190563268,-166.91192626953125,-178.06509399414062,-174.26071166992188,6.072735786437988,2.9986643374827673
ser,a87baf08-9942-41b8-905e-6f7190563268,-155.19863891601562,177.74261474609375,-170.69418334960938,5.813377857208252,2.9613205046181124
ser,a87baf08-9942-41b8-905e-6f7190563268,-152.09283447265625,-156.5039520263672,-165.62936401367188,6.046507835388184,2.9707079543506896
ser,a87baf08-9942-41b8-905e-6f7190563268,172.61251831054688,-163.9100341796875,-176.52633666992188,5.949764728546143,3.0010815205116392
ser,a87baf08-9942-41b8-905e-6f7190563268,-148.44110107421875,-170.6156005859375,-173.7224578857422,5.902817726135254,2.9446313840587983
ser,a87baf08-9942-41b8-905e-6f7190563268,-161.5064697265625,155.71971130371094,-171.76718139648438,5.872443199157715,2.9730679812560923
ser,a87baf08-9942-41b8-905e-6f7190563268,-162.76112365722656,-160.81056213378906,-174.38116455078125,5.946113586425781,2.9734343629678555
ser,a87baf08-9942-41b8-905e-6f7190563268,-173.3506317138672,-151.9051055908203,-176.91448974609375,5.8856940269470215,2.9957684513898486
ser,a87baf08-9942-41b8-905e-6f7190563268,-147.98533630371094,178.416259765625,-175.8025665283203,6.038570404052734,3.0075303809674567
ser,a87baf08-9942-41b8-905e-6f7190563268,-153.8878936767578,164.6892852783203,-166.6470184326172,5.902247905731201,2.990581378026778
ser,a87baf08-9942-41b8-905e-6f7190563268,-168.21380615234375,-170.5350341796875,-175.17369079589844,6.0874176025390625,3.0302972531671957
ser,a87baf08-9942-41b8-905e-6f7190563268,-167.0424041748047,-145.3378448486328,173.49545288085938,6.040363788604736,2.9868230715171054
ser,a87baf08-9942-41b8-905e-6f7190563268,-152.97695922851562,-178.68716430664062,173.4320831298828,5.988677024841309,2.9842254997197597
ser,a87baf08-9942-41b8-905e-6f7190563268,-145.73483276367188,176.36029052734375,-179.32498168945312,5.923412799835205,2.965709926210457
ser,a87baf08-9942-41b8-905e-6f7190563268,-165.51852416992188,-166.78582763671875,172.99461364746094,5.901572227478027,2.9442073388235883
ser,a87baf08-9942-41b8-905e-6f7190563268,-146.631591796875,-147.6239776611328,174.12791442871094,5.830665111541748,2.948979843836326
ser,a87baf08-9942-41b8-905e-6f7190563268,-153.63287353515625,169.94053649902344,175.197998046875,5.844356060028076,2.94553650057122
ser,a87baf08-9942-41b8-905e-6f7190563268,-157.214111328125,-174.2367706298828,177.50601196289062,5.975629806518555,2.9790467218501915
ser,a87baf08-9942-41b8-905e-6f7190563268,-150.4215545654297,-174.6824493408203,166.10728454589844,6.07535457611084,3.003590190869786
ser,a87baf08-9942-41b8-905e-6f7190563268,-164.97061157226562,-165.87953186035156,174.4093017578125,5.990606307983398,2.959862604415273
ser,a87baf08-9942-41b8-905e-6f7190563268,-160.9456787109375,-174.39768981933594,179.1690216064453,6.1236443519592285,3.0228583751193527
ser,a87baf08-9942-41b8-905e-6f7190563268,-175.5443878173828,-170.38255310058594,-175.11302185058594,5.989749908447266,2.9388580429615323
ser,a87baf08-9942-41b8-905e-6f7190563268,-142.4546356201172,-162.82667541503906,-174.61624145507812,6.059142589569092,3.0211764406246666
ser,a87baf08-9942-41b8-905e-6f7190563268,-166.65280151367188,-172.58091735839844,-171.8588104248047,5.955649375915527,2.9732323230948143
ser,a87baf08-9942-41b8-905e-6f7190563268,-157.94326782226562,-178.1513671875,172.3942108154297,6.021800994873047,3.0178708734367863
ser,a87baf08-9942-41b8-905e-6f7190563268,-149.1276092529297,-172.35064697265625,-169.78427124023438,5.729856967926025,2.9265049516368196
ser,a87baf08-9942-41b8-905e-6f7190563268,-167.54025268554688,-165.37774658203125,178.495361328125,5.906353950500488,2.953935096538196
ser,a87baf08-9942-41b8-905e-6f7190563268,-159.81800842285156,-160.4486541748047,175.20166015625,6.041561603546143,2.9631379530398014
ser,a87baf08-9942-41b8-905e-6f7190563268,-166.09071350097656,172.3056182861328,178.4892578125,5.988944053649902,2.964192301117526
ser,a87baf08-9942-41b8-905e-6f7190563268,-149.53248596191406,-169.2748565673828,178.32823181152344,6.078050136566162,3.01136627914059
ser,a87baf08-9942-41b8-905e-6f7190563268,-164.6851043701172,-172.88790893554688,-173.92636108398438,5.94963264465332,2.9899650476056627
ser,a87baf08-9942-41b8-905e-6f7190563268,-154.24835205078125,-157.33615112304688,-175.7025146484375,6.064480304718018,3.021638316697209
ser,a87baf08-9942-41b8-905e-6f7190563268,176.71900939941406,-173.27577209472656,-178.9001007080078,5.8187103271484375,2.920863182348961
ser,a87baf08-9942-41b8-905e-6f7190563268,-150.78390502929688,-168.0475616455078,-178.82872009277344,5.996943473815918,3.0041550320666834
ser,a87baf08-9942-41b8-905e-6f7190563268,-161.27593994140625,-179.1235809326172,-167.568359375,5.970631122589111,2.9845790641307453
ser,a87baf08-9942-41b8-905e-6f7190563268,-149.51876831054688,-162.76663208007812,-174.4240264892578,6.184467315673828,3.0075800128953163
ser,a87baf08-9942-41b8-905e-6f7190563268,-175.71018981933594,-165.37086486816406,-175.8201141357422,5.753257751464844,2.912822608570244
ser,a87baf08-9942-41b8-905e-6f7190563268,-160.21070861816406,-157.49234008789062,-179.9751739501953,6.099804401397705,2.991710543848778
ser,a87baf08-9942-41b8-905e-6f7190563268,-156.0659637451172,-179.514892578125,-157.92930603027344,5.799902439117432,2.913891292033161
ser,a87baf08-9942-41b8-905e-6f7190563268,-152.83245849609375,-160.27012634277344,178.6505126953125,6.018985748291016,2.986662698391634
ser,a87baf08-9942-41b8-905e-6f7190563268,170.15260314941406,-166.35415649414062,-173.927001953125,5.829195499420166,2.937884366475517
ser,a87baf08-9942-41b8-905e-6f7190563268,-129.7802276611328,-159.21893310546875,-177.02589416503906,6.0071892738342285,2.988526892965767
ser,a87baf08-9942-41b8-905e-6f7190563268,-160.58412170410156,164.81640625,-160.5269775390625,6.012637615203857,2.979947284892317
ser,a87baf08-9942-41b8-905e-6f7190563268,-157.7858428955078,-158.65003967285156,-168.68983459472656,6.107272148132324,3.0040087246471927
ser,a87baf08-9942-41b8-905e-6f7190563268,-162.1370086669922,-156.70315551757812,176.5446014404297,5.8176422119140625,2.9048272672450888
ser,a87baf08-9942-41b8-905e-6f7190563268,-154.44520568847656,175.61764526367188,165.17462158203125,6.100093841552734,3.011600897147122
ser,a87baf08-9942-41b8-905e-6f7190563268,-142.3683624267578,172.98199462890625,165.65789794921875,5.766604900360107,2.9062519403409257
ser,a87baf08-9942-41b8-905e-6f7190563268,-159.01055908203125,-164.69790649414062,160.71910095214844,5.981107711791992,2.9581643636601176
ser,a87baf08-9942-41b8-905e-6f7190563268,-160.81324768066406,-162.1942901611328,165.57879638671875,5.980391979217529,2.9428300097287283
ser,a87baf08-9942-41b8-905e-6f7190563268,-159.09982299804688,169.6211700439453,178.11973571777344,5.876924991607666,2.938342062832358
ser,a87baf08-9942-41b8-905e-6f7190563268,-136.968017578125,-167.3201904296875,169.3099365234375,5.967452049255371,3.0017496065757125
ser,a87baf08-9942-41b8-905e-6f7190563268,177.38380432128906,173.43089294433594,163.7732391357422,5.989740371704102,2.9632345612603053
ser,a87baf08-9942-41b8-905e-6f7190563268,-130.09873962402344,-161.2049102783203,166.40399169921875,5.981544017791748,2.997844972444846
ser,a87baf08-9942-41b8-905e-6f7190563268,-161.20054626464844,173.92051696777344,171.09423828125,5.800106525421143,2.934120853039198
ser,a87baf08-9942-41b8-905e-6f7190563268,-160.4550323486328,-171.2778778076172,157.9063262939453,6.095058441162109,3.012362894058868
ser,a87baf08-9942-41b8-905e-6f7190563268,-164.03721618652344,-174.28189086914062,167.62705993652344,5.737639427185059,2.875479357153416
ser,a87baf08-9942-41b8-905e-6f7190563268,-155.92813110351562,-179.25857543945312,163.8378448486328,6.102313995361328,3.0090401486044884
ser,a87baf08-9942-41b8-905e-6f7190563268,-160.6734619140625,-177.92466735839844,164.68849182128906,6.029339790344238,2.964231244373014
ser,a87baf08-9942-41b8-905e-6f7190563268,-142.47654724121094,-170.00340270996094,171.82762145996094,5.82438850402832,2.9948098440886595
ser,a87baf08-9942-41b8-905e-6f7190563268,-157.91380310058594,-150.46104431152344,171.6069793701172,5.858935832977295,2.9303589583799354
ser,a87baf08-9942-41b8-905e-6f7190563268,-169.32803344726562,-179.9653778076172,158.6744384765625,6.0066962242126465,2.989352473881747
ser,a87baf08-9942-41b8-905e-6f7190563268,-127.75727081298828,168.6166229248047,170.47776794433594,5.6803436279296875,2.9570708484440122
ser,a87baf08-9942-41b8-905e-6f7190563268,-170.69984436035156,169.61451721191406,-176.1160888671875,6.178839206695557,3.0201804275721695
ser,a87baf08-9942-41b8-905e-6f7190563268,-153.71629333496094,-157.958984375,178.88499450683594,6.045389175415039,2.964458738856925
ser,a87baf08-9942-41b8-905e-6f7190563268,-168.06640625,-168.33517456054688,178.24612426757812,6.04551362991333,3.0124716878348905
ser,a87baf08-9942-41b8-905e-6f7190563268,-158.86721801757812,158.29371643066406,170.3490447998047,5.873037338256836,2.9911582130013623
ser,a87baf08-9942-41b8-905e-6f7190563268,-126.80264282226562,172.74923706054688,166.6438446044922,5.710864067077637,2.938218670217832
ser,a87baf08-9942-41b8-905e-6f7190563268,-169.25897216796875,-173.66957092285156,176.26724243164062,6.066635608673096,3.006182285136879
ser,a87baf08-9942-41b8-905e-6f7190563268,-155.9829559326172,-167.33372497558594,-171.01161193847656,5.664819240570068,2.8892307384013423
ser,a87baf08-9942-41b8-905e-6f7190563268,-165.1198272705078,175.30587768554688,-168.3396759033203,6.271007061004639,3.0379296422624105
ser,a87baf08-9942-41b8-905e-6f7190563268,-167.4409637451172,162.23927307128906,-143.64292907714844,5.858122825622559,2.93580757953654
ser,a87baf08-9942-41b8-905e-6f7190563268,-143.1501922607422,-170.83944702148438,-170.6998748779297,6.068782806396484,3.021797272686914
ser,a87baf08-9942-41b8-905e-6f7190563268,168.54678344726562,-168.5535125732422,-151.38290405273438,5.909193992614746,2.970093307537196
ser,a87baf08-9942-41b8-905e-6f7190563268,-146.69305419921875,-163.4334716796875,-174.70965576171875,6.032781600952148,2.9953258424041134
ser,a87baf08-9942-41b8-905e-6f7190563268,-172.2935028076172,157.7720184326172,-170.90614318847656,5.919530868530273,2.938042208646092
ser,a87baf08-9942-41b8-905e-6f7190563268,-159.32977294921875,-172.29393005371094,-158.7289581298828,6.176032066345215,3.0294197606599806
ser,a87baf08-9942-41b8-905e-6f7190563268,-167.3665008544922,-160.39892578125,-169.3610076904297,5.906013488769531,2.9438955747981104
ser,a87baf08-9942-41b8-905e-6f7190563268,-165.91525268554688,-164.82748413085938,-165.75083923339844,6.319304943084717,3.075229297231943
ser,a87baf08-9942-41b8-905e-6f7190563268,-170.57484436035156,166.1463165283203,-175.56259155273438,5.861331939697266,2.9400888727763603
ser,a87baf08-9942-41b8-905e-6f7190563268,-143.57574462890625,-170.66941833496094,-178.80628967285156,6.0090203285217285,2.9795226992683177
ser,a87baf08-9942-41b8-905e-6f7190563268,-174.66358947753906,-178.64505004882812,-171.4509735107422,5.840203762054443,2.94039145137398
ser,a87baf08-9942-41b8-905e-6f7190563268,-148.4296112060547,-158.98731994628906,171.46759033203125,5.923810958862305,2.9575916364216313
ser,a87baf08-9942-41b8-905e-6f7190563268,-158.6529541015625,-178.59190368652344,-172.4553680419922,5.95471715927124,2.9724230219025367
