sequence,key,phi,psi,omega,e2e,rgyr
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-76.6843032836914,134.1782684326172,-173.33892822265625,5.189083099365234,6.042221580810371
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-136.1392059326172,149.56761169433594,164.04783630371094,5.842304229736328,6.263422898263696
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-108.44149017333984,116.14276885986328,-178.75425720214844,5.315365314483643,5.91823243335511
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-79.76910400390625,110.28436279296875,165.42471313476562,5.176249980926514,5.75473674502207
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-70.55961608886719,135.4021453857422,167.685546875,5.379630088806152,5.702930095787067
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-99.74472045898438,130.66848754882812,172.17572021484375,5.662368297576904,5.644194264794399
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-111.63838958740234,157.72056579589844,-170.7127227783203,5.570659160614014,5.5602898455986365
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-101.84477233886719,156.89601135253906,170.241943359375,5.832087516784668,5.52115983666541
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-88.42555236816406,179.51498413085938,-174.31175231933594,5.855437278747559,5.589817397501448
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-96.88572692871094,162.742919921875,175.11834716796875,5.691718101501465,5.4285609044976315
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-104.12615966796875,-179.66664123535156,-164.7585906982422,5.980948448181152,5.308140577355912
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-84.85716247558594,159.09426879882812,-175.19601440429688,5.899407386779785,5.460523517240057
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-62.801422119140625,164.951416015625,-166.83108520507812,5.860060214996338,5.692590004627705
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-83.27599334716797,163.90943908691406,173.38766479492188,5.8132171630859375,5.763052628356393
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-66.86515808105469,165.50967407226562,173.9346160888672,5.532355785369873,5.679475878239329
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-83.00715637207031,170.28968811035156,173.0194854736328,5.799378871917725,5.518340362810699
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-73.26073455810547,-175.00379943847656,174.45559692382812,5.8890204429626465,5.506292837954379
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-85.1078872680664,166.5152587890625,171.29205322265625,5.735356330871582,5.650403997572851
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-88.98318481445312,-168.4390869140625,169.7831268310547,5.832939624786377,5.651129548530882
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-93.41734313964844,-162.92161560058594,177.86392211914062,5.898853778839111,5.654629288297413
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-89.69147491455078,-143.14410400390625,-174.0120849609375,5.644825458526611,5.629168252290044
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-99.47575378417969,-159.69134521484375,-166.9430694580078,5.8287858963012695,5.58921808084623
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-100.0650863647461,-155.60293579101562,-171.9276123046875,5.860448360443115,5.653538797868323
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-105.1781234741211,-145.4522247314453,-179.33309936523438,5.889411926269531,5.717102249545728
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-91.05615997314453,-117.42671203613281,-162.37448120117188,5.7069244384765625,5.580741388728435
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-105.26991271972656,-133.96759033203125,177.08164978027344,5.813894271850586,5.5973581726892725
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-90.40165710449219,-105.50868225097656,-174.06390380859375,5.760851860046387,5.499421629472861
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-88.70755767822266,-102.29717254638672,-172.5192413330078,5.420348167419434,5.581405125667992
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-81.06986999511719,-128.73947143554688,-174.74453735351562,5.671363830566406,5.51534643111912
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-94.78772735595703,-115.05559539794922,-178.8602752685547,5.749659538269043,5.591413022043975
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-99.61641693115234,-100.78764343261719,-168.56996154785156,5.485365390777588,5.6645969161013605
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-83.02033996582031,-117.6495132446289,176.76605224609375,5.528246879577637,5.5874222660253805
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-92.9458999633789,-115.83800506591797,-176.93380737304688,5.662550449371338,5.524906770296015
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-91.44476318359375,-130.9208526611328,176.1575927734375,5.739006996154785,5.64582025889358
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-80.43878173828125,-86.83291625976562,-167.0359649658203,5.210050582885742,5.545784486180242
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-77.85533142089844,-72.8686752319336,-178.22207641601562,5.113193988800049,5.372059899992793
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-60.41386795043945,-51.59489440917969,-174.4411163330078,4.407595157623291,5.313201001897868
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-79.47944641113281,-49.60552978515625,173.19244384765625,4.985960483551025,5.563798836855552
ser,ab0c59fc-f8a9-4677-8f01-9d686957a4de,-81.30363464355469,-63.333377838134766,168.08941650390625,5.053028106689453,5.53378568019461
