sequence,key,phi,psi,omega,e2e,rgyr
gly,ca458d4b-b030-4684-b336-f33612788db1,163.08554077148438,-150.17071533203125,-177.09719848632812,6.04601526260376,6.5906748571597955
gly,ca458d4b-b030-4684-b336-f33612788db1,154.9856719970703,-145.59597778320312,-172.92874145507812,5.946333408355713,6.086423425576956
gly,ca458d4b-b030-4684-b336-f33612788db1,171.2941436767578,-153.279052734375,-168.53050231933594,5.921005725860596,5.6673472058730985
gly,ca458d4b-b030-4684-b336-f33612788db1,150.523681640625,-151.6668243408203,175.3741455078125,5.907878398895264,5.720582762155607
gly,ca458d4b-b030-4684-b336-f33612788db1,161.01202392578125,-134.88308715820312,166.37049865722656,5.679372310638428,5.981025517214504
gly,ca458d4b-b030-4684-b336-f33612788db1,150.33538818359375,-144.29513549804688,-176.02687072753906,5.888016700744629,6.158552625514269
gly,ca458d4b-b030-4684-b336-f33612788db1,-156.39361572265625,-119.21037292480469,174.57388305664062,5.727924346923828,6.296066910419786
gly,ca458d4b-b030-4684-b336-f33612788db1,155.2373046875,-103.24267578125,173.10292053222656,5.4975385665893555,6.270708324615375
gly,ca458d4b-b030-4684-b336-f33612788db1,-179.53732299804688,-88.23125457763672,-162.51925659179688,5.254375457763672,6.320322376453121
gly,ca458d4b-b030-4684-b336-f33612788db1,177.9060516357422,-81.65436553955078,160.77859497070312,5.2642035484313965,6.555940436174153
gly,ca458d4b-b030-4684-b336-f33612788db1,168.06112670898438,-71.85325622558594,176.41064453125,5.29866361618042,6.810423571952291
gly,ca458d4b-b030-4684-b336-f33612788db1,165.5217742919922,-77.44630432128906,-164.23504638671875,5.233656406402588,7.033866700593547
gly,ca458d4b-b030-4684-b336-f33612788db1,157.0797576904297,-70.35639190673828,-167.48431396484375,5.167132377624512,6.861919374344178
gly,ca458d4b-b030-4684-b336-f33612788db1,167.55934143066406,-70.63825988769531,178.60812377929688,5.190010070800781,6.798776428786444
gly,ca458d4b-b030-4684-b336-f33612788db1,146.44557189941406,-26.93257713317871,167.4525146484375,4.733362674713135,6.996162849101682
gly,ca458d4b-b030-4684-b336-f33612788db1,154.70730590820312,-72.44127655029297,-174.2307586669922,4.90300989151001,7.009408152304772
gly,ca458d4b-b030-4684-b336-f33612788db1,157.9859161376953,-75.43680572509766,-165.5373992919922,5.00905179977417,7.010832492578287
gly,ca458d4b-b030-4684-b336-f33612788db1,154.31700134277344,-48.856502532958984,179.76547241210938,5.060001850128174,7.278812567546021
gly,ca458d4b-b030-4684-b336-f33612788db1,172.1620635986328,-47.70610427856445,-178.83831787109375,4.660811901092529,7.122385619210448
gly,ca458d4b-b030-4684-b336-f33612788db1,-179.5370330810547,-68.34858703613281,-179.39854431152344,5.322196006774902,7.077515087609556
gly,ca458d4b-b030-4684-b336-f33612788db1,178.6346435546875,-46.4896240234375,-165.6746368408203,4.9985032081604,6.849251239559959
gly,ca458d4b-b030-4684-b336-f33612788db1,-176.29644775390625,-79.00518035888672,-168.03350830078125,5.154282093048096,6.974138716705006
gly,ca458d4b-b030-4684-b336-f33612788db1,-143.9868927001953,-78.76827239990234,166.57955932617188,5.457921028137207,7.164697958706189
gly,ca458d4b-b030-4684-b336-f33612788db1,178.62266540527344,-60.06487274169922,-172.77981567382812,5.000608444213867,7.108699081255367
gly,ca458d4b-b030-4684-b336-f33612788db1,154.3015899658203,-31.95440673828125,-166.2794189453125,4.993035316467285,7.150652056994444
gly,ca458d4b-b030-4684-b336-f33612788db1,146.20643615722656,-42.12580871582031,-172.13070678710938,4.71590518951416,7.114094493693408
gly,ca458d4b-b030-4684-b336-f33612788db1,132.41064453125,-59.71425247192383,-179.89881896972656,4.652365684509277,7.227742148804305
gly,ca458d4b-b030-4684-b336-f33612788db1,130.01611328125,-94.82330322265625,175.27674865722656,5.207343101501465,7.275098830138409
gly,ca458d4b-b030-4684-b336-f33612788db1,135.19313049316406,-113.12840270996094,173.3089141845703,5.504040241241455,7.35314845285639
gly,ca458d4b-b030-4684-b336-f33612788db1,-146.07113647460938,-91.73480224609375,179.1903076171875,5.539012432098389,7.528382758851891
gly,ca458d4b-b030-4684-b336-f33612788db1,-137.7849578857422,-61.15601348876953,-153.76283264160156,5.244441509246826,7.637951012967514
gly,ca458d4b-b030-4684-b336-f33612788db1,-127.81275939941406,-71.69035339355469,169.76089477539062,5.104043483734131,7.6889502714371565
gly,ca458d4b-b030-4684-b336-f33612788db1,-156.72396850585938,-73.73374938964844,177.83993530273438,5.2218475341796875,7.847322959318095
gly,ca458d4b-b030-4684-b336-f33612788db1,168.9208984375,-73.78620910644531,173.3670654296875,5.099808692932129,7.6723827016789725
gly,ca458d4b-b030-4684-b336-f33612788db1,168.61160278320312,-93.91023254394531,170.86180114746094,5.407253742218018,7.382214607223382
gly,ca458d4b-b030-4684-b336-f33612788db1,138.03309631347656,-63.56142807006836,168.09469604492188,4.611687660217285,7.240750047351754
gly,ca458d4b-b030-4684-b336-f33612788db1,147.5054473876953,-23.831506729125977,-167.76803588867188,4.736067295074463,7.197966301891641
