sequence,key,phi,psi,omega,e2e,rgyr
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-82.7920913696289,79.0828628540039,-164.0897979736328,4.335082054138184,2.743809181157702
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-88.19789123535156,98.01651763916016,166.76417541503906,5.179158687591553,2.9248666177912974
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-90.18830871582031,97.7469482421875,-163.44619750976562,4.82111120223999,2.8677487862821645
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-75.74150085449219,74.60174560546875,179.76968383789062,4.695408344268799,2.857715475857627
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-89.50308990478516,70.48855590820312,179.20928955078125,4.458050727844238,2.7951427670644584
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-80.75119018554688,69.387939453125,174.0561981201172,4.438206672668457,2.8212151730503394
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-108.13624572753906,84.08898162841797,170.4152069091797,4.990490436553955,2.9049102848367054
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-83.36780548095703,100.54119873046875,179.85089111328125,4.779707908630371,2.8318544969205144
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-92.15055847167969,92.62810516357422,-169.9414520263672,5.123197078704834,2.8834626628909805
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-80.64146423339844,67.80620574951172,-160.8085479736328,4.228209018707275,2.7697692271047494
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-88.4187240600586,78.95146942138672,176.4446563720703,4.968565940856934,2.878320978905705
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-89.81198120117188,92.49381256103516,-162.38607788085938,4.747701168060303,2.8227356346163703
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-79.46248626708984,57.75909423828125,-175.84286499023438,4.511308670043945,2.824701557782712
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-98.40686798095703,82.92279052734375,-179.6542510986328,4.739281177520752,2.857047146917824
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-69.55001068115234,90.99271392822266,175.0814208984375,4.814790725708008,2.8664598159552273
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-93.10038757324219,47.985755920410156,164.46527099609375,4.343008995056152,2.8433347089858008
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-86.61707305908203,54.69413757324219,160.5484161376953,4.410074710845947,2.8399134827497963
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-78.70537567138672,109.12843322753906,167.51458740234375,4.917923927307129,2.8078832503304714
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-82.2216796875,107.69976043701172,164.08367919921875,5.183619976043701,2.9055068683053737
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-89.29393768310547,97.882080078125,170.95974731445312,4.8284196853637695,2.855839300438134
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-63.85715103149414,49.70486068725586,-168.21377563476562,4.45667839050293,2.774771714822392
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-112.85162353515625,65.86616516113281,-166.7830352783203,4.547689437866211,2.79416732795267
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-95.61036682128906,109.41908264160156,-176.47947692871094,5.217562198638916,2.9213151428654736
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-80.29085540771484,138.98507690429688,178.36387634277344,5.474050521850586,2.933592053891422
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-116.66032409667969,121.27392578125,178.6966094970703,5.1860761642456055,2.8936203817869166
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-120.62531280517578,91.27687072753906,173.5594024658203,5.312780857086182,2.9306583536297315
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-70.22920227050781,61.677833557128906,172.71163940429688,4.211930751800537,2.803567961129146
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-102.11058044433594,69.53010559082031,160.32899475097656,4.635199546813965,2.8334431216407663
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-69.62481689453125,76.13846588134766,177.6477813720703,4.5152177810668945,2.837714733685209
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-96.7303237915039,64.67594146728516,-175.88827514648438,4.589838981628418,2.853254667476761
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-79.83556365966797,72.34600067138672,172.61544799804688,4.787282466888428,2.902407409587706
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-71.34762573242188,86.19628143310547,174.7266387939453,4.527443885803223,2.8441095976878223
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-88.32193756103516,63.985530853271484,-175.4013214111328,4.826227188110352,2.9071227943752374
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-69.84611511230469,75.00764465332031,-167.02191162109375,4.5006327629089355,2.8552666113101774
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-111.18669891357422,94.71568298339844,176.16311645507812,5.1268486976623535,2.9010942765155563
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-72.09025573730469,85.40843963623047,-166.61973571777344,4.520934581756592,2.7866482955785217
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-95.68836212158203,67.63190460205078,177.85658264160156,4.833189964294434,2.8797283554967654
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-84.3343505859375,67.0597915649414,-170.69635009765625,4.256901264190674,2.817622406347901
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-80.12857818603516,80.46820068359375,167.60235595703125,4.9538702964782715,2.889976448432565
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-83.6020736694336,98.8044204711914,177.76852416992188,4.749772548675537,2.8073167298471486
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-102.22573852539062,57.579071044921875,172.0961151123047,4.492404937744141,2.827658027107586
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-70.30216979980469,72.59347534179688,175.78759765625,4.703159332275391,2.8269441051107673
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-79.97366333007812,102.13516998291016,-177.37550354003906,4.917008399963379,2.8698006182829756
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-78.95658111572266,74.7741470336914,-169.50985717773438,4.921343803405762,2.860470261805491
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-86.33551788330078,51.65684127807617,-171.38453674316406,4.253220081329346,2.7664918002669543
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-83.96333312988281,73.92899322509766,177.9640655517578,4.683207988739014,2.8152250347766916
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-93.11609649658203,95.08805847167969,177.27874755859375,4.867513179779053,2.8381082896548793
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-105.29255676269531,75.33890533447266,179.3185272216797,4.692282676696777,2.8709906906229565
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-66.22826385498047,66.21407318115234,-179.8984375,4.612757682800293,2.8594327718237205
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-120.48619842529297,87.89842224121094,168.0655517578125,4.836303234100342,2.8646037265619615
ser,ddd42748-df36-4b75-8138-27eb0c1ad1e6,-132.6243896484375,93.69669342041016,-177.93173217773438,5.3599348068237305,2.9290361594796677
