sequence,key,phi,psi,omega,e2e,rgyr
ser,e369de46-c8d6-4f60-a3f0-46a6eba6c1b8,-83.90985107421875,-53.8663330078125,-176.71812438964844,4.811984539031982,6.589974396389724
ser,e369de46-c8d6-4f60-a3f0-46a6eba6c1b8,-76.51384735107422,-51.82987976074219,179.54421997070312,4.694839000701904,6.405383677351931
ser,e369de46-c8d6-4f60-a3f0-46a6eba6c1b8,-83.24397277832031,-66.5583724975586,-168.1249542236328,4.921592712402344,6.1528064729837215
ser,e369de46-c8d6-4f60-a3f0-46a6eba6c1b8,-89.29281616210938,-69.39282989501953,-163.6990966796875,5.330787181854248,6.273830769477167
ser,e369de46-c8d6-4f60-a3f0-46a6eba6c1b8,-77.85562896728516,-48.3713493347168,-176.35800170898438,4.565234661102295,6.388486747319202
ser,e369de46-c8d6-4f60-a3f0-46a6eba6c1b8,-109.57781982421875,-35.710018157958984,175.49220275878906,4.7820024490356445,6.72707479845813
ser,e369de46-c8d6-4f60-a3f0-46a6eba6c1b8,-118.41402435302734,-62.00276184082031,172.07432556152344,5.137768268585205,6.904360519678641
ser,e369de46-c8d6-4f60-a3f0-46a6eba6c1b8,-66.29208374023438,-68.44625854492188,169.015869140625,5.0806379318237305,6.993617575072158
ser,e369de46-c8d6-4f60-a3f0-46a6eba6c1b8,-84.95314025878906,-26.051191329956055,179.6444549560547,4.510227203369141,7.011684182071422
ser,e369de46-c8d6-4f60-a3f0-46a6eba6c1b8,-81.10985565185547,-54.136844635009766,-176.52780151367188,4.862879753112793,6.723213102831245
ser,e369de46-c8d6-4f60-a3f0-46a6eba6c1b8,-89.215087890625,-56.40568161010742,-174.56175231933594,4.838931560516357,6.5915102546305
ser,e369de46-c8d6-4f60-a3f0-46a6eba6c1b8,-94.41390991210938,-41.12586975097656,169.5218048095703,4.622776031494141,6.446307105659857
ser,e369de46-c8d6-4f60-a3f0-46a6eba6c1b8,-115.16175079345703,-55.87025833129883,-179.29356384277344,4.878030300140381,6.596150205123112
ser,e369de46-c8d6-4f60-a3f0-46a6eba6c1b8,-111.62846374511719,-51.33292770385742,172.82931518554688,4.750491619110107,6.428379928847966
ser,e369de46-c8d6-4f60-a3f0-46a6eba6c1b8,-87.81865692138672,-67.6300048828125,-171.95700073242188,4.635135173797607,6.336881850685183
ser,e369de46-c8d6-4f60-a3f0-46a6eba6c1b8,-92.63175201416016,-49.80409622192383,-178.97840881347656,4.82457971572876,6.59275769795936
ser,e369de46-c8d6-4f60-a3f0-46a6eba6c1b8,-88.7833251953125,-39.8172607421875,-165.6385040283203,4.514442443847656,6.569142271506476
ser,e369de46-c8d6-4f60-a3f0-46a6eba6c1b8,-90.27946472167969,-48.99225616455078,-169.49172973632812,4.791652679443359,6.300530037107799
ser,e369de46-c8d6-4f60-a3f0-46a6eba6c1b8,-102.44732666015625,-35.00393295288086,-163.83807373046875,4.7805986404418945,6.071666252746076
ser,e369de46-c8d6-4f60-a3f0-46a6eba6c1b8,-72.3133773803711,-48.32206344604492,-179.45152282714844,4.531452655792236,5.862847728905957
ser,e369de46-c8d6-4f60-a3f0-46a6eba6c1b8,-71.11595153808594,-53.95063400268555,-173.88465881347656,4.77885627746582,5.855980386862315
ser,e369de46-c8d6-4f60-a3f0-46a6eba6c1b8,-68.42455291748047,-49.82827377319336,167.39431762695312,4.7474470138549805,5.931676911132711
