sequence,key,phi,psi,omega,e2e,rgyr
ser,f32b993d-c123-4685-bff6-762eecdd4e12,-164.1641387939453,-169.1158905029297,178.03952026367188,6.0272746086120605,2.969685743546141
ser,f32b993d-c123-4685-bff6-762eecdd4e12,-147.38377380371094,-177.53199768066406,175.75399780273438,5.990281105041504,2.973557298237556
ser,f32b993d-c123-4685-bff6-762eecdd4e12,-165.6345672607422,-164.3590087890625,174.98849487304688,5.907082557678223,2.943914166639676
ser,f32b993d-c123-4685-bff6-762eecdd4e12,-163.79925537109375,-159.51065063476562,176.3856658935547,6.0084333419799805,3.0001535790979523
ser,f32b993d-c123-4685-bff6-762eecdd4e12,-165.4471435546875,-173.64329528808594,-172.2749481201172,5.888166904449463,2.91207511694157
ser,f32b993d-c123-4685-bff6-762eecdd4e12,-162.23745727539062,173.13523864746094,-174.51478576660156,6.000789165496826,2.989677582975188
ser,f32b993d-c123-4685-bff6-762eecdd4e12,-166.4232635498047,-176.847900390625,-172.01197814941406,5.92100191116333,2.9508842565420643
ser,f32b993d-c123-4685-bff6-762eecdd4e12,-159.33412170410156,-161.53848266601562,-175.07638549804688,5.998443603515625,2.9574964141122964
ser,f32b993d-c123-4685-bff6-762eecdd4e12,-161.5137939453125,-152.9043426513672,-170.96205139160156,5.933089733123779,2.9931985907359304
ser,f32b993d-c123-4685-bff6-762eecdd4e12,-166.9895782470703,178.4461669921875,-171.78358459472656,5.980047225952148,3.002360976712393
ser,f32b993d-c123-4685-bff6-762eecdd4e12,-149.74932861328125,175.7768096923828,-167.36477661132812,5.9261298179626465,2.991775738994396
ser,f32b993d-c123-4685-bff6-762eecdd4e12,-167.2951202392578,179.8459930419922,-177.7155303955078,6.01304817199707,2.9696075527741383
ser,f32b993d-c123-4685-bff6-762eecdd4e12,-168.55157470703125,-146.66705322265625,178.43467712402344,6.038078784942627,2.9764030228375185
ser,f32b993d-c123-4685-bff6-762eecdd4e12,-169.04391479492188,-178.60073852539062,174.48866271972656,6.026904106140137,2.966340130487997
ser,f32b993d-c123-4685-bff6-762eecdd4e12,-149.40293884277344,-177.3750457763672,179.19821166992188,5.993580341339111,2.9612479179014164
ser,f32b993d-c123-4685-bff6-762eecdd4e12,-178.0677490234375,-173.1881561279297,170.85543823242188,6.054234027862549,3.0131155608410274
ser,f32b993d-c123-4685-bff6-762eecdd4e12,-148.98019409179688,-156.1236572265625,175.67652893066406,5.916484832763672,2.955788060349068
ser,f32b993d-c123-4685-bff6-762eecdd4e12,-162.52029418945312,-179.0058135986328,-177.76512145996094,6.029097080230713,2.998731151330552
